"pmid","title","source","abstract","probs"
38418845,"Epigenome-wide association study identifies neonatal DNA methylation associated with two-year attention problems in children born very preterm.","Transl Psychiatry","Prior research has identified epigenetic predictors of attention problems in school-aged children but has not yet investigated these in young children, or children at elevated risk of attention problems due to preterm birth. The current study evaluated epigenome-wide associations between neonatal DNA methylation and attention problems at age 2 years in children born very preterm. Participants included 441 children from the Neonatal Neurobehavior and Outcomes in Very Preterm Infants (NOVI) Study, a multi-site study of infants born < 30 weeks gestational age. DNA methylation was measured from buccal swabs collected at NICU discharge using the Illumina MethylationEPIC Bead Array. Attention problems were assessed at 2 years of adjusted age using the attention problems subscale of the Child Behavior Checklist (CBCL). After adjustment for multiple testing, DNA methylation at 33 CpG sites was associated with child attention problems. Differentially methylated CpG sites were located in genes previously linked to physical and mental health, including several genes associated with ADHD in prior epigenome-wide and genome-wide association studies. Several CpG sites were located in genes previously linked to exposure to prenatal risk factors in the NOVI sample. Neonatal epigenetics measured at NICU discharge could be useful in identifying preterm children at risk for long-term attention problems and related psychiatric disorders, who could benefit from early prevention and intervention efforts.© 2024. The Author(s).",1
38414347,"Epigenome-wide analysis of frailty: Results from two European twin cohorts.","Aging Cell","Epigenetics plays an important role in the aging process, but it is unclear whether epigenetic factors also influence frailty, an age-related state of physiological decline. In this study, we performed a meta-analysis of epigenome-wide association studies in four samples drawn from the Swedish Adoption/Twin Study of Aging (SATSA) and the Longitudinal Study of Aging Danish Twins (LSADT) to explore the association between DNA methylation and frailty. Frailty was defined using the frailty index (FI), and DNA methylation levels were measured in whole blood using Illumina's Infinium HumanMethylation450K and MethylationEPIC arrays. In the meta-analysis consisting of a total of 829 participants, we identified 589 CpG sites that were statistically significantly associated with either the continuous or categorical FI (false discovery rate <0.05). Many of these CpGs have previously been associated with age and age-related diseases. The identified sites were also largely directionally consistent in a longitudinal analysis using mixed-effects models in SATSA, where the participants were followed up to a maximum of 20 years. Moreover, we identified three differentially methylated regions within the MGRN1, MIR596, and TAPBP genes that have been linked to neuronal aging, tumor growth, and immune functions. Furthermore, our meta-analysis results replicated 34 of the 77 previously reported frailty-associated CpGs at p < 0.05. In conclusion, our findings demonstrate robust associations between frailty and DNA methylation levels in 589 novel CpGs, previously unidentified for frailty, and strengthen the role of neuronal/brain pathways in frailty.© 2024 The Authors. Aging Cell published by Anatomical Society and John Wiley & Sons Ltd.",1
38413986,"Improvements in lung function following vitamin C supplementation to pregnant smokers are associated with buccal DNA methylation at 5 years of age.","Clin Epigenetics","We previously reported in the ""Vitamin C to Decrease the Effects of Smoking in Pregnancy on Infant Lung Function"" randomized clinical trial (RCT) that vitamin C (500 mg/day) supplementation to pregnant smokers is associated with improved respiratory outcomes that persist through 5 years of age. The objective of this study was to assess whether buccal cell DNA methylation (DNAm), as a surrogate for airway epithelium, is associated with vitamin C supplementation, improved lung function, and decreased occurrence of wheeze.We conducted epigenome-wide association studies (EWAS) using Infinium MethylationEPIC arrays and buccal DNAm from 158 subjects (80 placebo; 78 vitamin C) with pulmonary function testing (PFT) performed at the 5-year visit. EWAS were performed on (1) vitamin C treatment, (2) forced expiratory flow between 25 and 75% of expired volume (FEF25-75), and (3) offspring wheeze. Models were adjusted for sex, race, study site, gestational age at randomization (≤ OR > 18 weeks), proportion of epithelial cells, and latent covariates in addition to child length at PFT in EWAS for FEF25-75. We considered FDR p < 0.05 as genome-wide significant and nominal p < 0.001 as candidates for downstream analyses. Buccal DNAm measured in a subset of subjects at birth and near 1 year of age was used to determine whether DNAm signatures originated in utero, or emerged with age.Vitamin C treatment was associated with 457 FDR significant (q < 0.05) differentially methylated CpGs (DMCs; 236 hypermethylated; 221 hypomethylated) and 53 differentially methylated regions (DMRs; 26 hyper; 27 hypo) at 5 years of age. FEF25-75was associated with one FDR significant DMC (cg05814800), 1,468 candidate DMCs (p < 0.001), and 44 DMRs. Current wheeze was associated with 0 FDR-DMCs, 782 candidate DMCs, and 19 DMRs (p < 0.001). In 365/457 vitamin C FDR significant DMCs at 5 years of age, there was no significant interaction between time and treatment.Vitamin C supplementation to pregnant smokers is associated with buccal DNA methylation in offspring at 5 years of age, and most methylation signatures appear to be persistent from the prenatal period. Buccal methylation at 5 years was also associated with current lung function and occurrence of wheeze, and these functionally associated loci are enriched for vitamin C associated loci. Clinical trial registration ClinicalTrials.gov, NCT01723696 and NCT03203603.© 2024. The Author(s).",1
38367619,"Epigenome-wide association study of total nicotine equivalents in multiethnic current smokers from three prospective cohorts.","Am J Hum Genet","The impact of tobacco exposure on health varies by race and ethnicity and is closely tied to internal nicotine dose, a marker of carcinogen uptake. DNA methylation is strongly responsive to smoking status and may mediate health effects, but study of associations with internal dose is limited. We performed a blood leukocyte epigenome-wide association study (EWAS) of urinary total nicotine equivalents (TNEs; a measure of nicotine uptake) and DNA methylation measured using the MethylationEPIC v1.0 BeadChip (EPIC) in six racial and ethnic groups across three cohort studies. In the Multiethnic Cohort Study (discovery, n = 1994), TNEs were associated with differential methylation at 408 CpG sites across >250 genomic regions (p < 9 × 10-8). The top significant sites were annotated to AHRR, F2RL3, RARA, GPR15, PRSS23, and 2q37.1, all of which had decreasing methylation with increasing TNEs. We identified 45 novel CpG sites, of which 42 were unique to the EPIC array and eight annotated to genes not previously linked with smoking-related DNA methylation. The most significant signal in a novel gene was cg03748458 in MIR383;SGCZ. Fifty-one of the 408 discovery sites were validated in the Singapore Chinese Health Study (n = 340) and the Southern Community Cohort Study (n = 394) (Bonferroni corrected p < 1.23 × 10-4). Significant heterogeneity by race and ethnicity was detected for CpG sites in MYO1G and CYTH1. Furthermore, TNEs significantly mediated the association between cigarettes per day and DNA methylation at 15 sites (average 22.5%-44.3% proportion mediated). Our multiethnic study highlights the transethnic and ethnic-specific methylation associations with internal nicotine dose, a strong predictor of smoking-related morbidities.Copyright © 2024 American Society of Human Genetics. Published by Elsevier Inc. All rights reserved.",1
38365790,"Epigenome-wide association study of dietary fatty acid intake.","Clin Epigenetics","Dietary intake of n-3 polyunsaturated fatty acids (PUFA) may have a protective effect on the development of cardiovascular diseases, diabetes, depression and cancer, while a high intake of n-6 PUFA was often reported to be associated with inflammation-related traits. The effect of PUFAs on health outcomes might be mediated by DNA methylation (DNAm). The aim of our study is to identify the impact of PUFA intake on DNAm in the Cooperative Health Research in the Region of Augsburg (KORA) FF4 cohort and the Leiden Longevity Study (LLS).DNA methylation levels were measured in whole blood from the population-based KORA FF4 study (N = 1354) and LLS (N = 448), using the Illumina MethylationEPIC BeadChip and Illumina HumanMethylation450 array, respectively. We assessed associations between DNAm and intake of eight and four PUFAs in KORA and LLS, respectively. Where possible, results were meta-analyzed. Below the Bonferroni correction threshold (p < 7.17 × 10-8), we identified two differentially methylated positions (DMPs) associated with PUFA intake in the KORA study. The DMP cg19937480, annotated to gene PRDX1, was positively associated with docosahexaenoic acid (DHA) in model 1 (beta: 2.00 × 10-5, 95%CI: 1.28 × 10-5-2.73 × 10-5, P value: 6.98 × 10-8), while cg05041783, annotated to gene MARK2, was positively associated with docosapentaenoic acid (DPA) in our fully adjusted model (beta: 9.80 × 10-5, 95%CI: 6.25 × 10-5-1.33 × 10-4, P value: 6.75 × 10-8). In the meta-analysis, we identified the CpG site (cg15951061), annotated to gene CDCA7L below Bonferroni correction (1.23 × 10-7) associated with eicosapentaenoic acid (EPA) intake in model 1 (beta: 2.00 × 10-5, 95% CI: 1.27 × 10-5-2.73 × 10-5, P value = 5.99 × 10-8) and we confirmed the association of cg19937480 with DHA in both models 1 and 2 (beta: 2.07 × 10-5, 95% CI: 1.31 × 10-5-2.83 × 10-5, P value = 1.00 × 10-7and beta: 2.19 × 10-5, 95% CI: 1.41 × 10-5-2.97 × 10-5, P value = 5.91 × 10-8respectively).Our study identified three CpG sites associated with PUFA intake. The mechanisms of these sites remain largely unexplored, highlighting the novelty of our findings. Further research is essential to understand the links between CpG site methylation and PUFA outcomes.© 2024. The Author(s).",1
38358663,"Contributions of prenatal risk factors and neonatal epigenetics to cognitive outcome in children born very preterm.","Dev Psychol","Children born less than 30 weeks gestational age (GA) are at high risk for neurodevelopmental delay compared to term peers. Prenatal risk factors and neonatal epigenetics could help identify preterm children at highest risk for poor cognitive outcomes. We aimed to understand the associations among cumulative prenatal risk, neonatal DNA methylation, and child cognitive ability at age 3 years, including whether DNA methylation mediates the association between prenatal risk and cognitive ability. We studied 379 neonates (54% male) born less than 30 weeks GA who had DNA methylation measured at neonatal intensive care unit discharge along with 3-year follow-up data. Cumulative prenatal risk was calculated from 24 risk factors obtained from maternal report and medical record and epigenome-wide neonatal DNA methylation was assayed from buccal swabs. At 3-year follow-up, child cognitive ability was assessed using theBayley Scales of Infant and Toddler Development(third edition). Cumulative prenatal risk and DNA methylation at two cytosine-phosphate-guanines (CpGs) were uniquely associated with child cognitive ability. Using high-dimensional mediation analysis, we also identified differential methylation of 309 CpGs that mediated the association between cumulative prenatal risk and child cognitive ability. Many of the associated CpGs were located in genes (TNS3, TRAPPC4, MAD1L1, APBB2, DIP2C, TRAPPC9, DRD2) that have previously been associated with prenatal exposures and/or neurodevelopmental phenotypes. Our findings suggest a role for both prenatal risk factors and DNA methylation in explaining outcomes for children born preterm and suggest we should further study DNA methylation as a potential mechanism underlying the association between prenatal risk and child neurodevelopment. (PsycInfo Database Record (c) 2024 APA, all rights reserved).",1
38324238,"Perceived Experiences of racism in Relation to Genome-Wide DNA Methylation and Epigenetic Aging in the Black Women's Health Study.","J Racial Ethn Health Disparities","African American women have a disproportionate burden of disease compared to US non-Hispanic white women. Exposure to psychosocial stressors may contribute to these health disparities. Racial discrimination, a major stressor for African American women, could affect health through epigenetic mechanisms.We conducted an epigenome-wide association study (EWAS) to examine the association of interpersonal racism (in daily life and in institutional settings) with DNA methylation in blood in 384 participants of the Black Women's Health Study (BWHS). We also evaluated whether a greater number of perceived experiences of racism was associated with epigenetic aging as measured using different methylation clocks. Models were adjusted for chronological age, body mass index, years of education, neighborhood SES, geographic region of residence, alcohol drinking, smoking, and technical covariates.Higher scores of racism in daily life were associated with higher methylation levels at the cg04494873 site in chromosome 5 (β = 0.64%; 95% CI = 0.41%, 0.87%; P = 6.35E-08). We also replicated one CpG site, cg03317714, which was inversely associated with racial discrimination in a previous EWAS among African American women. In the BWHS, higher scores of racism in daily life were associated with lower methylation levels at that CpG site (β = -0.94%; 95% CI = -1.37%, -0.51%; P = 2.2E-05). Higher racism scores were associated with accelerated epigenetic aging in more than one methylation clock.Exposure to discriminatory events may affect the epigenome and accelerate biological aging, which may explain in part the earlier onset of disease in African American women.© 2024. W. Montague Cobb-NMA Health Institute.",1
38309009,"Genome-wide DNA methylation analysis of cannabis use disorder in a veteran cohort enriched for posttraumatic stress disorder.","Psychiatry Res","Cannabis use has been increasing over the past decade, not only in the general US population, but particularly among military veterans. With this rise in use has come a concomitant increase in cannabis use disorder (CUD) among veterans. Here, we performed an epigenome-wide association study for lifetime CUD in an Iraq/Afghanistan era veteran cohort enriched for posttraumatic stress disorder (PTSD) comprising 2,310 total subjects (1,109 non-Hispanic black and 1,201 non-Hispanic white). We also investigated CUD interactions with current PTSD status and examined potential indirect effects of DNA methylation (DNAm) on the relationship between CUD and psychiatric diagnoses. Four CpGs were associated with lifetime CUD, even after controlling for the effects of current smoking (AHRR cg05575921, LINC00299 cg23079012, VWA7 cg22112841, and FAM70A cg08760398). Importantly, cg05575921, a CpG strongly linked to smoking, remained associated with lifetime CUD even when restricting the analysis to veterans who reported never smoking cigarettes. Moreover, CUD interacted with current PTSD to affect cg05575921 and cg23079012 such that those with both CUD and PTSD displayed significantly lower DNAm compared to the other groups. Finally, we provide preliminary evidence that AHRR cg05575921 helps explain the association between CUD and any psychiatric diagnoses, specifically mood disorders.Copyright © 2024 Elsevier B.V. All rights reserved.",1
38296944,"Blood epigenome-wide association studies of suicide attempt in adults with bipolar disorder.","Transl Psychiatry","Suicide attempt (SA) risk is elevated in individuals with bipolar disorder (BD), and DNA methylation patterns may serve as possible biomarkers of SA. We conducted epigenome-wide association studies (EWAS) of blood DNA methylation associated with BD and SA. DNA methylation was measured at >700,000 positions in a discovery cohort of n = 84 adults with BD with a history of SA (BD/SA), n = 79 adults with BD without history of SA (BD/non-SA), and n = 76 non-psychiatric controls (CON). EWAS revealed six differentially methylated positions (DMPs) and seven differentially methylated regions (DMRs) between BD/SA and BD/non-SA, with multiple immune-related genes implicated. There were no epigenome-wide significant differences when BD/SA and BD/non-SA were each compared to CON, and patterns suggested that epigenetics differentiating BD/SA from BD/non-SA do not differentiate BD/non-SA from CON. Weighted gene co-methylation network analysis and trait enrichment analysis of the BD/SA vs. BD/non-SA contrast further corroborated immune system involvement, while gene ontology analysis implicated calcium signalling. In an independent replication cohort of n = 48 BD/SA and n = 47 BD/non-SA, fold changes at the discovery cohort's significant sites showed moderate correlation across cohorts and agreement on direction. In both cohorts, classification accuracy for SA history among individuals with BD was highest when methylation at the significant CpG sites as well as information from clinical interviews were combined, with an AUC of 88.8% (CI = 83.8-93.8%) and 82.1% (CI = 73.6-90.5%) for the combined epigenetic-clinical classifier in the discovery and replication cohorts, respectively. Our results provide novel insight to the role of immune system functioning in SA and BD and also suggest that integrating information from multiple levels of analysis holds promise to improve risk assessment for SA in adults with BD.© 2024. The Author(s).",1
38219005,"Epigenome-wide association study of DNA methylation in maternal blood leukocytes with BMI in pregnancy and gestational weight gain.","Int J Obes (Lond)","We aimed to discover CpG sites with differential DNA methylation in peripheral blood leukocytes associated with body mass index (BMI) in pregnancy and gestational weight gain (GWG) in women of European and South Asian ancestry. Furthermore, we aimed to investigate how the identified sites were associated with methylation quantitative trait loci, gene ontology, and cardiometabolic parameters.In the Epigenetics in pregnancy (EPIPREG) sample we quantified maternal DNA methylation in peripheral blood leukocytes in gestational week 28 with Illumina's MethylationEPIC BeadChip. In women with European (n = 303) and South Asian (n = 164) ancestry, we performed an epigenome-wide association study of BMI in gestational week 28 and GWG between gestational weeks 15 and 28 using a meta-analysis approach. Replication was performed in the Norwegian Mother, Father, and Child Cohort Study, the Study of Assisted Reproductive Technologies (MoBa-START) (n = 877, mainly European/Norwegian).We identified one CpG site significantly associated with GWG (p 5.8 × 10-8) and five CpG sites associated with BMI at gestational week 28 (p from 4.0 × 10-8 to 2.1 × 10-10). Of these, we were able to replicate three in MoBa-START; cg02786370, cg19758958 and cg10472537. Two sites are located in genes previously associated with blood pressure and BMI. DNA methylation at the three replicated CpG sites were associated with levels of blood pressure, lipids and glucose in EPIPREG (p from 1.2 × 10-8to 0.04).We identified five CpG sites associated with BMI at gestational week 28, and one with GWG. Three of the sites were replicated in an independent cohort. Several genetic variants were associated with DNA methylation at cg02786379 and cg16733643 suggesting a genetic component influencing differential methylation. The identified CpG sites were associated with cardiometabolic traits.Not applicable.© 2024. The Author(s).",1
