,pmid,title,source,abstract
,37511531,Epigenome-Wide Associations of Placental DNA Methylation and Behavioral and Emotional Difficulties in Children at 3 Years of Age.,Int J Mol Sci,"The placenta is a key organ for fetal and brain development. Its epigenome can be regarded as a biochemical record of the prenatal environment and a potential mechanism of its association with the future health of the fetus. We investigated associations between placental DNA methylation levels and child behavioral and emotional difficulties, assessed at 3 years of age using the Strengths and Difficulties Questionnaire (SDQ) in 441 mother-child dyads from the EDEN cohort. Hypothesis-driven and exploratory analyses (on differentially methylated probes (EWAS) and regions (DMR)) were adjusted for confounders, technical factors, and cell composition estimates, corrected for multiple comparisons, and stratified by child sex. Hypothesis-driven analyses showed an association of cg26703534 (AHRR) with emotional symptoms, and exploratory analyses identified two probes, cg09126090 (intergenic region) and cg10305789 (PPP1R16B), as negatively associated with peer relationship problems, as well as 33 DMRs, mostly positively associated with at least one of the SDQ subscales. Among girls, most associations were seen with emotional difficulties, whereas in boys, DMRs were as much associated with emotional than behavioral difficulties. This study provides the first evidence of associations between placental DNA methylation and child behavioral and emotional difficulties. Our results suggest sex-specific associations and might provide new insights into the mechanisms of neurodevelopment."
,37503194,An epigenome-wide association study of child appetitive traits and DNA methylation.,bioRxiv,"Childhood appetitive traits are consistently associated with obesity risk, and yet their etiology is poorly understood. Appetitive traits are complex phenotypes which are hypothesized to be influenced by both genetic and environmental factors, as well as their interactions. Early-life epigenetic processes, such as DNA methylation (DNAm), may be involved in the developmental programming of appetite regulation in childhood. In the current study, we meta-analyzed epigenome-wide association studies (EWASs) of cord blood DNAm and early-childhood appetitive traits. Data were from two independent cohorts: the Generation R Study (n=1,086, Rotterdam, the Netherlands) and the Healthy Start study (n=236, Colorado, USA). DNAm at autosomal methylation sites in cord blood was measured using the Illumina Infinium HumanMethylation450 BeadChip. Parents reported on their child's food responsiveness, emotional undereating, satiety responsiveness and food fussiness using the Children's Eating Behaviour Questionnaire at age 4-5 years. Multiple regression models were used to examine the association of DNAm (predictor) at the individual site- and regional-level (using DMRff) with each appetitive trait (outcome), adjusting for covariates. Bonferroni-correction was applied to adjust for multiple testing. There were no associations of DNAm and any appetitive trait at the individual site-level. However, at the regional level, we identified 45 associations of DNAm with food responsiveness, 7 associations of DNAm with emotional undereating, 13 associations of DNAm with satiety responsiveness, and 9 associations of DNAm with food fussiness. This study shows that DNAm in the newborn may partially explain variation in appetitive traits expressed in early childhood and provides preliminary support for early programming of child appetitive traits through DNAm. Investigating differential DNAm associated with appetitive traits could be an important first step in identifying biological pathways underlying the development of these behaviors."
,37502923,sciMET-cap: High-throughput single-cell methylation analysis with a reduced sequencing burden.,bioRxiv,"DNA methylation is a key component of the mammalian epigenome, playing a regulatory role in development, disease, and other processes. Robust, high-throughput single-cell DNA methylation assays are now possible (sciMET); however, the genome-wide nature of DNA methylation results in a high sequencing burden per cell. Here, we leverage target enrichment with sciMET to capture sufficient information per cell for cell type assignment using substantially fewer sequence reads (sciMET-cap). Sufficient off-target coverage further enables the production of near-complete methylomes for individual cell types. We characterize sciMET-cap on human PBMCs and brain (middle frontal gyrus)."
,37502922,Multi-ancestry epigenome-wide analyses identify methylated sites associated with aortic augmentation index in TOPMed MESA.,Res Sq,"Despite the prognostic value of arterial stiffness (AS) and pulsatile hemodynamics (PH) for cardiovascular morbidity and mortality, epigenetic modifications that contribute to AS/PH remain unknown. To gain a better understanding of the link between epigenetics (DNA methylation) and AS/PH, we examined the relationship of eight measures of AS/PH with CpG sites and co-methylated regions using multi-ancestry participants from Trans-Omics for Precision Medicine (TOPMed) Multi-Ethnic Study of Atherosclerosis (MESA) with sample sizes ranging from 438 to 874. Epigenome-wide association analysis identified one genome-wide significant CpG (cg20711926-CYP1B1) associated with aortic augmentation index (AIx). Follow-up analyses, including gene set enrichment analysis, expression quantitative trait methylation analysis, and functional enrichment analysis on differentially methylated positions and regions, further prioritized three CpGs and their annotated genes (cg23800023-ETS1, cg08426368-TGFB3, and cg17350632-HLA-DPB1) for AIx. Among these,ETS1andTGFB3have been previously prioritized as candidate genes. Furthermore, bothETS1andHLA-DPB1have significant tissue correlations between Whole Blood and Aorta in GTEx, which suggestsETS1andHLA-DPB1could be potential biomarkers in understanding pathophysiology of AS/PH. Overall, our findings support the possible role of epigenetic regulation via DNA methylation of specific genes associated with AIx as well as identifying potential targets for regulation of AS/PH."
,37501075,Genome-wide discovery of circulating cell-free DNA methylation biomarkers for colorectal cancer detection.,Clin Epigenetics,"Colorectal polyp is known a precursor of colorectal cancer (CRC) that holds an increased risk for progression to CRC. Circulating cell-free DNA (cfDNA) methylation has shown favorable performance in the detection and monitoring the malignant progression in a variety of cancers.To discover cfDNA methylation markers for the diagnosis of CRC, we first performed a genome-wide analysis between eight CRC and eight polyp tissues using the Infinium HumanMethylationEPIC BeadChip. We identified 7008 DMCs, and after filtering, we validated 39 DMCs by MethylTarget sequencing in 62 CRC and 56 polyp tissues. A panel of four CpGs (cg04486886, cg06712559, cg13539460, and cg27541454) was selected as the methylation marker in tissue by LASSO and random forest models. A diagnosis prediction model was built based on the four CpGs, and the methylation diagnosis score (md-score) can effectively discriminate tissues with CRC from polyp patients (AUROC > 0.9). Finally, the cg27541454 was confirmed hypermethylated in CRC (AUC = 0.85) in the plasma validation cohort.Our findings suggest that the md-score could robustly detect CRC from polyp tissues, and cg27541454 may be a promising candidate noninvasive biomarker for CRC early diagnosis.© 2023. The Author(s)."
,37496173,The lipidomic correlates of epigenetic aging across the adult lifespan: A population-based study.,Aging Cell,"Lipid signaling is involved in longevity regulation, but which specific lipid molecular species affect human biological aging remains largely unknown. We investigated the relation between complex lipids and DNA methylation-based metrics of biological aging among 4181 participants (mean age 55.1 years (range 30.0-95.0)) from the Rhineland Study, an ongoing population-based cohort study in Bonn, Germany. The absolute concentration of 14 lipid classes, covering 964 molecular species and 267 fatty acid composites, was measured by Metabolon Complex Lipid Panel. DNA methylation-based metrics of biological aging (AgeAccelPheno and AgeAccelGrim) were calculated based on published algorithms. Epigenome-wide association analyses (EWAS) of biological aging-associated lipids and pathway analysis were performed to gain biological insights into the mechanisms underlying the effects of lipidomics on biological aging. We found that higher levels of molecular species belonging to neutral lipids, phosphatidylethanolamines, phosphatidylinositols, and dihydroceramides were associated with faster biological aging, whereas higher levels of lysophosphatidylcholine, hexosylceramide, and lactosylceramide species were associated with slower biological aging. Ceramide, phosphatidylcholine, and lysophosphatidylethanolamine species with odd-numbered fatty acid tail lengths were associated with slower biological aging, whereas those with even-numbered chain lengths were associated with faster biological aging. EWAS combined with functional pathway analysis revealed several complex lipids associated with biological aging as important regulators of known longevity and aging-related pathways.© 2023 The Authors. Aging Cell published by Anatomical Society and John Wiley & Sons Ltd."
,37466420,Genome-wide analysis of DNA methylation and its relationship with serum homocysteine levels in patients with hypertension.,J Hypertens,"Homocysteine (Hcy) is an independent risk factor for cardiovascular diseases, and elevated plasma Hcy levels could aggravate vascular injury in hypertension. Hyperhomocysteinemia can change the methylation status of global DNA and specific genes. In the present study, we aim to examine the comprehensive influence of Hcy levels on DNA methylation status in patients with hypertension.Epigenome-wide methylation profiles of the peripheral leukocyte DNA of 218 patients with hypertension were analyzed using the Illumina Infinium Methylation EPIC BeadChip. Differentially methylated positions (DMPs) associated with serum Hcy levels were identified by mixed linear regression with the adjustment of potential confounders. Gene Ontology analysis and Kyoto Encyclopedia of Genes and Genomes pathway analysis were conducted to determine the potential functions of the identified DMPs. The association between the methylation level of DMPs and carotid-femoral pulse wave velocity (Cf-PWV) was also analyzed.Five DMPs at cg13169662, cg03179312, cg21976560, cg25262698, and cg09433843 showed significant association with serum Hcy levels (false discovery rate-corrected P < 0.05). An additional six CpG sites met the threshold for suggestive significance (P < 1 × 10-6), among which three DMPs (cg25781123, cg26463106, and cg06679221) were annotated to THUMPD3. Furthermore, the methylation levels of cg13169662 and cg25262698 (RPRD1A) were significantly associated with Cf-PWV.Our results suggest that Hcy could induce DNA methylation alteration in patients with hypertension. Further functional research is warranted to elucidate the concrete role of DMPs in hypertension.Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved."
,37464577,Epigenome-wide association study using peripheral blood leukocytes identifies genomic regions associated with periodontal disease and edentulism in the Atherosclerosis Risk in Communities study.,J Clin Periodontol,"To investigate individual susceptibility to periodontitis by conducting an epigenome-wide association study using peripheral blood.We included 1077 African American and 457 European American participants of the Atherosclerosis Risk in Communities (ARIC) study who had completed a dental examination or reported being edentulous at Visit 4 and had available data on DNA methylation from Visit 2 or 3. DNA methylation levels were compared by periodontal disease severity and edentulism through discovery analyses and subsequent testing of individual CpGs.Our discovery analysis replicated findings from a previous study reporting a region in gene ZFP57 (6p22.1) that was significantly hypomethylated in severe periodontal disease compared with no/mild periodontal disease in European American participants. Higher methylation levels in a separate region in an unknown gene (located in Chr10: 743,992-744,958) was associated with significantly higher odds of edentulism compared with no/mild periodontal disease in African American participants. In subsequent CpG testing, four CpGs in a region previously associated with periodontitis located within HOXA4 were significantly hypermethylated in severe periodontal disease compared with no/mild periodontal disease in African American participants (odds ratio per 1 SD increase in methylation level: cg11015251: 1.28 (1.02, 1.61); cg14359292: 1.24 (1.01, 1.54); cg07317062: 1.30 (1.05, 1.61); cg08657492: 1.25 (1.01, 1.55)).Our study highlights epigenetic variations in ZPF57 and HOXA4 that are significantly and reproducibly associated with periodontitis. Future studies should evaluate gene regulatory mechanisms in the candidate regions of these loci.© 2023 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd."
,37461726,Critical evaluation of the reliability of DNA methylation probes on the Illumina MethylationEPIC BeadChip microarrays for dementia research.,Res Sq,"Background DNA methylation (DNAm) has been implicated in many diseases including dementia. Array-based technologies offer a cost-effective and comprehensive approach for measuring DNAm on a genome-wide scale. However, the accuracy of DNAm measurements obtained using Illumina arrays can vary across different probes. Previous research has focused primarily on assessing the reliability of DNAm in younger subjects, and have compared duplicate samples between the 450k-450k or 450k-EPIC platforms, with limited investigations on EPIC-EPIC comparisons. Methods We conducted a comprehensive assessment of probe reliability on the Illumina EPIC arrays using 138 duplicated blood DNAm samples from subjects older than 65 years in the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. To assess the reliability of each probe, we computed intraclass correlations (ICCs) for each probe. Both the magnitude and patterns of reliability in the EPIC-EPIC comparison were assessed. Furthermore, we also investigated the impact of probe reliability on the analyses of epigenome-wide association studies (EWAS). Results Our findings revealed the reliability of probes on the EPIC arrays is higher than those of previous studies involving duplicate measurements on 450k-EPIC or 450k-450k arrays. Consistent with earlier research, we observed increased reliability in probes with substantial between-subject variances or average methylation beta values ranging from 0.2 to 0.8. Lower reliability was observed in type I probes or probes located within the promoter and CpG island regions. In addition, we found some probes can yield high ICC values despite significant disagreement in duplicate measurements, primarily due to their relatively high between-subject variance. To account for such discrepancies explicitly, we introduced a novel statistical measure called the modified ICC, which penalizes the ICC based on the half-width of the 95% confidence limits of agreement. Importantly, we found probe reliability has significant implications in various downstream analyses of EWAS, such as meta-analysis, differentially methylated regions analysis, and integrative analyses within the cross-tissue or multi-omics contexts. Conclusion We developed a valuable resource for dementia research, providing crucial reliability information for probes on the EPIC array. This resource can be utilized to identify and prioritize high-quality probes, thereby minimizing the potential for false discoveries and maximizing the potential of EWAS."
,37415231,Epigenetic marks associated with gestational diabetes mellitus across two time points during pregnancy.,Clin Epigenetics,"An adverse intrauterine or periconceptional environment, such as hyperglycemia during pregnancy, can affect the DNA methylation pattern both in mothers and their offspring. In this study, we explored the epigenetic profile in maternal peripheral blood samples through pregnancy to find potential epigenetic biomarkers for gestational diabetes mellitus (GDM), as well as candidate genes involved in GDM development. We performed an epigenome-wide association study in maternal peripheral blood samples in 32 pregnant women (16 with GDM and 16 non-GDM) at pregnancy week 24-28 and 36-38. Biochemical, anthropometric, and obstetrical variables were collected from all the participants. The main results were validated in an independent cohort with different ethnic origin (European = 307; South Asians = 165). Two hundred and seventy-two CpGs sites remained significantly different between GDM and non-GDM pregnant women across two time points during pregnancy. The significant CpG sites were related to pathways associated with type I diabetes mellitus, insulin resistance and secretion. Cg01459453 (SELP gene) was the most differentiated in the GDM group versus non-GDM (73.6 vs. 60.9, p = 1.06E-11; FDR = 7.87E-06). Three CpG sites (cg01459453, cg15329406, and cg04095097) were able to discriminate between GDM cases and controls (AUC = 1; p = 1.26E-09). Three differentially methylated positions (DMPs) were replicated in an independent cohort. To conclude, epigenetic marks during pregnancy differed between GDM cases and controls suggesting a role for these genes in GDM development. Three CpGs were able to discriminate GDM and non-GDM groups with high specificity and sensitivity, which may be biomarker candidates for diagnosis or prediction of GDM.© 2023. The Author(s)."
