present,ec,date,type,pmid,title,source,abstract
,No,,cell-free DNA,36010184,Tracing the Origin of Cell-Free DNA Molecules through Tissue-Specific Epigenetic Signatures.,Diagnostics (Basel),"All cell and tissue types constantly release DNA fragments into human body fluids by various mechanisms including programmed cell death, accidental cell degradation and active extrusion. Particularly, cell-free DNA (cfDNA) in plasma or serum has been utilized for minimally invasive molecular diagnostics. Disease onset or pathological conditions that lead to increased cell death alter the contribution of different tissues to the total pool of cfDNA. Because cfDNA molecules retain cell-type specific epigenetic features, it is possible to infer tissue-of-origin from epigenetic characteristics. Recent research efforts demonstrated that analysis of, e.g., methylation patterns, nucleosome occupancy, and fragmentomics determined the cell- or tissue-of-origin of individual cfDNA molecules. This novel tissue-of origin-analysis enables to estimate the contributions of different tissues to the total cfDNA pool in body fluids and find tissues with increased cell death (pathologic condition), expanding the portfolio of liquid biopsies towards a wide range of pathologies and early diagnosis. In this review, we summarize the currently available tissue-of-origin approaches and point out the next steps towards clinical implementation."
,No,,chromatin,35947558,Chromatin accessibility of primary human cancers ties regional mutational processes and signatures with tissues of origin.,PLoS Comput Biol,"Somatic mutations in cancer genomes are associated with DNA replication timing (RT) and chromatin accessibility (CA), however these observations are based on normal tissues and cell lines while primary cancer epigenomes remain uncharacterised. Here we use machine learning to model megabase-scale mutation burden in 2,500 whole cancer genomes and 17 cancer types via a compendium of 900 CA and RT profiles covering primary cancers, normal tissues, and cell lines. CA profiles of primary cancers, rather than those of normal tissues, are most predictive of regional mutagenesis in most cancer types. Feature prioritisation shows that the epigenomes of matching cancer types and organ systems are often the strongest predictors of regional mutation burden, highlighting disease-specific associations of mutational processes. The genomic distributions of mutational signatures are also shaped by the epigenomes of matched cancer and tissue types, with SBS5/40, carcinogenic and unknown signatures most accurately predicted by our models. In contrast, fewer associations of RT and regional mutagenesis are found. Lastly, the models highlight genomic regions with overrepresented mutations that dramatically exceed epigenome-derived expectations and show a pan-cancer convergence to genes and pathways involved in development and oncogenesis, indicating the potential of this approach for coding and non-coding driver discovery. The association of regional mutational processes with the epigenomes of primary cancers suggests that the landscape of passenger mutations is predominantly shaped by the epigenomes of cancer cells after oncogenic transformation."
,No,,chromatin,35978191,Spatial profiling of chromatin accessibility in mouse and human tissues.,Nature,"Cellular function in tissue is dependent on the local environment, requiring new methods for spatial mapping of biomolecules and cells in the tissue context1. The emergence of spatial transcriptomics has enabled genome-scale gene expression mapping2-5, but the ability to capture spatial epigenetic information of tissue at the cellular level and genome scale is lacking. Here we describe a method for spatially resolved chromatin accessibility profiling of tissue sections using next-generation sequencing (spatial-ATAC-seq) by combining in situ Tn5 transposition chemistry6and microfluidic deterministic barcoding5. Profiling mouse embryos using spatial-ATAC-seq delineated tissue-region-specific epigenetic landscapes and identified gene regulators involved in the development of the central nervous system. Mapping the accessible genome in the mouse and human brain revealed the intricate arealization of brain regions. Applying spatial-ATAC-seq to tonsil tissue resolved the spatially distinct organization of immune cell types and states in lymphoid follicles and extrafollicular zones. This technology progresses spatial biology by enabling spatially resolved chromatin accessibility profiling to improve our understanding of cell identity, cell state and cell fate decision in relation to epigenetic underpinnings in development and disease.© 2022. The Author(s)."
x,Yes,,ewas,36046194,Fetal sex-specific epigenetic associations with prenatal maternal depressive symptoms.,iScience,"Prenatal maternal mental health is a global health challenge with poorly defined biological mechanisms. We used maternal blood samples collected during the second trimester from a Singaporean longitudinal birth cohort study to examine the association between inter-individual genome-wide DNA methylation and prenatal maternal depressive symptoms. We found that (1) the maternal methylome was significantly associated with prenatal maternal depressive symptomsonlyin mothers with a female fetus; and (2) this sex-dependent association was observed in a comparable, UK-based birth cohort study. Qualitative analyses showed fetal sex-specific differences in genomic features of depression-related CpGs and genes mapped from these CpGs in mothers with female fetuses implicated in a depression-associated WNT/β-catenin signaling pathway. These same genes also showed enriched expression in brain regions linked to major depressive disorder. We also found similar female-specific associations with fetal-facing placenta methylome. Our fetal sex-specific findings provide evidence for maternal-fetal interactions as a mechanism for intergenerational transmission.© 2022 The Authors."
,No,,ewas,36039408,Epigenetic signature of exposure to maternal <i>Trypanosoma cruzi</i> infection in cord blood cells from uninfected newborns.,Epigenomics,"Aims:To assess the epigenetic effects ofin uteroexposure to maternalTrypanosoma cruziinfection.Methods:We performed an epigenome-wide association study to compare the DNA methylation patterns of umbilical cord blood cells from uninfected babies from chagasic and uninfected mothers. DNA methylation was measured using Infinium EPIC arrays.Results:We identified a differential DNA methylation signature of fetal exposure to maternalT. cruziinfection, in the absence of parasite transmission, with 12 differentially methylated sites in B cells and CD4+T cells, including eight protein-coding genes.Conclusion:These genes participate in hematopoietic cell differentiation and the immune response and may be involved in immune disorders. They also have been associated with several developmental disorders and syndromes."
,Yes,,ewas,36036794,Associations of Heavy Metals with Activities of Daily Living Disability: An Epigenome-Wide View of DNA Methylation and Mediation Analysis.,Environ Health Perspect,"Exposure to heavy metals has been reported to be associated with multiple diseases. However, direct associations and potential mechanisms of heavy metals with physical disability remain unclear.We aimed to quantify associations of heavy metals with physical disability and further explore the potential mechanisms of DNA methylation on the genome scale.A cross-sectional study of 4,391 older adults was conducted and activities of daily living (ADL) disability were identified using a 14-item scale questionnaire including basic and instrumental activities to assess the presence of disability (yes or no) rated on a scale of dependence. Odds ratios (ORs) and 95% confidence intervals (CI) were estimated to quantify associations between heavy metals and ADL disability prevalence using multivariate logistic regression and Bayesian kernel machine regression (BKMR) models. Whole blood-derived DNA methylation was measured using the HumanMethylationEPIC BeadChip array. An ADL disability-related epigenome-wide DNA methylation association study (EWAS) was performed among 212 sex-matched ADL disability cases and controls, and mediation analysis was further applied to explore potential mediators of DNA methylation.Each 1-standard deviation (SD) higher difference inlog10-transformed manganese, copper, arsenic, and cadmium level was significantly associated with a 14% (95% CI: 1.05, 1.24), 16% (95% CI:1.07, 1.26), 22% (95% CI:1.13, 1.33), and 15% (95% CI:1.06, 1.26) higher odds of ADL disability, which remained significant in the multiple-metal and BKMR models. A total of 85 differential DNA methylation sites were identified to be associated with ADL disability prevalence, among which methylation level at cg220000984 and cg23012519 (annotated toIRGMandPKP3) mediated 31.0% and 31.2% of manganese-associated ADL disability prevalence, cg06723863 (annotated toESRP2) mediated 32.4% of copper-associated ADL disability prevalence, cg24433124 (nearest toIER3) mediated 15.8% of arsenic-associated ADL disability prevalence, and cg07905190 and cg17485717 (annotated toFREM1andTCP11L1) mediated 21.5% and 30.5% of cadmium-associated ADL disability prevalence (allp<0.05).Our findings suggested that heavy metals contributed to higher prevalence of ADL disability and that locus-specific DNA methylation are partial mediators, providing potential biomarkers for further cellular mechanism studies. https://doi.org/10.1289/EHP10602."
,Yes,,ewas,36029471,"Analysis of systemic epigenetic alterations in inflammatory bowel disease: defining geographical, genetic, and immune-inflammatory influences on the circulating methylome.",J Crohns Colitis,"Epigenetic alterations may provide valuable insights into gene-environment interactions play in the pathogenesis of Inflammatory Bowel Disease (IBD).Genome-wide methylation was measured from peripheral blood using the Illumina 450k platform in a case-control study in an inception cohort (295 controls, 154 CD, 161 UC, 28 IBD-U) with covariates of age, sex, and cell counts, deconvoluted by the Houseman method. Genotyping was performed using Illumina HumanOmniExpressExome-8 BeadChips and gene expression using Ion AmpliSeq Human Gene Expression Core Panel. Treatment escalation was characterised by the need for biological agents or surgery after initial disease remission.A total of 137 differentially methylated positions (DMP) were identified in IBD, including VMP1/MIR21 (p=9.11×10 -15) and RPS6KA2 (6.43×10 -13); with consistency seen across Scandinavia and UK. Dysregulated loci demonstrate strong genetic influence, notably VMP1 (p=1.53×10 -15). Age acceleration is seen in IBD (coefficient 0.94, p<2.2x10 -16). Several immuno-active genes demonstrated highly significant correlations between methylation and gene expression in IBD, in particular OSM: IBD r -0.32, p 3.64×10 -7 vs. non-IBD r -0.14, p=0.77). Multi-omic integration of methylome, genome and transcriptome also implicate specific pathways that associate with immune activation, response and regulation at disease inception. At follow up, a signature of 3 DMPs (TAP1, TESPA1, RPTOR) associated with treatment escalation to biological agents or surgery (hazard ratio of 5.19 (CI:2.14-12.56, logrank p=9.70×10 -4).These data demonstrate consistent epigenetic alterations at diagnosis in European patients with IBD, providing insights into the pathogenetic importance and translational potential of epigenetic mapping in complex disease.© The Author(s) 2022. Published by Oxford University Press on behalf of European Crohn’s and Colitis Organisation. All rights reserved. For permissions, please email: journals.permissions@oup.com."
,No,,ewas,36017556,Epigenome-wide association studies of occupational exposure to benzene and formaldehyde.,Epigenetics,"relationship between certain myeloid neoplasms and exposure to benzene or formaldehyde. DNA methylation could underlie benzene- and formaldehyde-induced health outcomes, but data in exposed human populations are limited. We conducted two cross-sectional epigenome-wide association studies (EWAS), one in workers exposed to benzene and another in workers exposed to formaldehyde. Using HumanMethylation450 BeadChips, we investigated differences in blood cell DNA methylation among 50 benzene-exposed subjects and 48 controls, and among 31 formaldehyde-exposed subjects and 40 controls. We performed CpG-level and regional-level analyses. In the benzene EWAS, we found genome-wide significant alterations, i.e., FWER-controlledP-values <0.05, in the mean and variance of methylation at 22 and 318 CpG sites, respectively, and in mean methylation of a large genomic region. Pathway analysis of genes corresponding to benzene-associated differential methylation sites revealed an impact on the AMPK signalling pathway. In formaldehyde-exposed subjects compared to controls, 9 CpGs in theDUSP22gene promoter had genome-wide significant decreased methylation variability and a large region of theHOXA5promoter with 44 CpGs was hypomethylated. Our findings suggest that DNA methylation may contribute to the pathogenesis of diseases related to benzene and formaldehyde exposure. Aberrant expression and methylation ofHOXA5previously has been shown to be clinically significant in myeloid leukaemias. The tumour suppressor geneDUSP22is a potential biomarker of exposure to formaldehyde, and irregularities have been associated with multiple exposures and diseases."
,Yes,,ewas,36012217,Experiences of Trauma and DNA Methylation Profiles among African American Mothers and Children.,Int J Mol Sci,"Potentially traumatic experiences have been associated with chronic diseases. Epigenetic mechanisms, including DNA methylation (DNAm), have been proposed as an explanation for this association. We examined the association of experiences of trauma with epigenome-wide DNAm among African American mothers (n= 236) and their children aged 3-5 years (n= 232; N = 500), using the Life Events Checklist-5 (LEC) and Traumatic Events Screening Inventory-Parent Report Revised (TESI-PRR). We identified no DNAm sites significantly associated with potentially traumatic experience scores in mothers. One CpG site on theENOX1gene was methylome-wide-significant in children (FDR-corrected q-value = 0.05) from the TESI-PRR. This protein-coding gene is associated with mental illness, including unipolar depression, bipolar, and schizophrenia. Future research should further examine the associations between childhood trauma, DNAm, and health outcomes among this understudied and high-risk group. Findings from such longitudinal research may inform clinical and translational approaches to prevent adverse health outcomes associated with epigenetic changes."
,Yes,,ewas,35998097,Systematic Review and Meta-analysis of Peripheral Blood DNA methylation studies in Inflammatory Bowel Disease.,J Crohns Colitis,"Over the past decade, the DNA methylome has been increasingly studied in peripheral blood of inflammatory bowel disease (IBD) patients. However, a comprehensive summary and meta-analysis of peripheral blood leukocyte (PBL) DNA methylation studies has thus far not been conducted. Here, we systematically reviewed all available literature up to February 2022 and summarized the observations by means of meta-analysis.We conducted a systematic search and critical appraisal of IBD-associated DNA methylation studies in PBL using the biomarker-based cross-sectional studies (BIOCROSS) tool. Subsequently, we performed meta-analyses on the summary statistics obtained from epigenome-wide association studies (EWAS) that included patients with Crohn's Disease (CD), ulcerative colitis (UC) and/or healthy controls (HC).Altogether, we included 15 studies for systematic review. Critical appraisal revealed large methodological and outcome heterogeneity between studies. Summary statistics were obtained from 4 studies based on a cumulative 552 samples (177 CD, 132 UC and 243 HC). Consistent differential methylation was identified for 256 differentially methylated probes (DMPs; Bonferroni-adjusted p-value ≤0.05) when comparing CD with HC and 103 when comparing UC with HC. Comparing IBD (CD + UC) with HC resulted in 224 DMPs. Importantly, several of the previously identified DMPs, such as VMP1/TMEM49/MIR21 and RPS6KA2, were consistently differentially methylated across all studies.Methodological homogenization of IBD epigenetic studies is needed to allow for easier aggregation and independent validation. Nonetheless, we were capable of confirming previous observations. Our results can serve as the basis for future IBD epigenetic biomarker research in PBL.© The Author(s) 2022. Published by Oxford University Press on behalf of European Crohn’s and Colitis Organisation."
