who,type,pmid,title,source,abstract
josine,mqtl,36510025,"DNA methylation QTL mapping across diverse human tissues provides molecular
links between genetic variation and
complex traits",Nat Genet,"Studies of DNA methylation (DNAm) in solid human tissues are relatively scarce; tissue-specific characterization of DNAm is needed to understand its role in gene regulation and its relevance to complex traits. We generated array-based DNAm profiles for 987 human samples from the Genotype-Tissue Expression (GTEx) project, representing 9 tissue types and 424 subjects. We characterized methylome and transcriptome correlations (eQTMs), genetic regulation in cis (mQTLs and eQTLs) across tissues and e/mQTLs links to complex traits. We identified mQTLs for 286,152 CpG sites, many of which (>5%) show tissue specificity, and mQTL colocalizations with 2,254 distinct GWAS hits across 83 traits. For 91% of these loci, a candidate gene link was identified by integration of functional maps, including eQTMs, and/or eQTL colocalization, but only 33% of loci involved an eQTL and mQTL present in the same tissue type. With this DNAm-focused integrative analysis, we contribute to the understanding of molecular regulatory mechanisms in human tissues and their impact on complex traits."
matt,dnam age,36638792,Loss of epigenetic information as a cause of mammalian aging,Cell,"All living things experience an increase in entropy, manifested as a loss of genetic and epigenetic information. In yeast, epigenetic information is lost over time due to the relocalization of chromatin-modifying proteins to DNA breaks, causing cells to lose their identity, a hallmark of yeast aging. Using a system called ""ICE"" (inducible changes to the epigenome), we find that the act of faithful DNA repair advances aging at physiological, cognitive, and molecular levels, including erosion of the epigenetic landscape, cellular exdifferentiation, senescence, and advancement of the DNA methylation clock, which can be reversed by OSK-mediated rejuvenation. These data are consistent with the information theory of aging, which states that a loss of epigenetic information is a reversible cause of aging."
matt,epigenetics,36471057,Deciphering the mechanical code of the genome and epigenome,Nat Struct Mol Biol,"Diverse DNA-deforming processes are impacted by the local mechanical and structural properties of DNA, which in turn depend on local sequence and epigenetic modifications. Deciphering this mechanical code (that is, this dependence) has been challenging due to the lack of high-throughput experimental methods. Here we present a comprehensive characterization of the mechanical code. Utilizing high-throughput measurements of DNA bendability via loop-seq, we quantitatively established how the occurrence and spatial distribution of dinucleotides, tetranucleotides and methylated CpG impact DNA bendability. We used our measurements to develop a physical model for the sequence and methylation dependence of DNA bendability. We validated the model by performing loop-seq on mouse genomic sequences around transcription start sites and CTCF-binding sites. We applied our model to test the predictions of all-atom molecular dynamics simulations and to demonstrate that sequence and epigenetic modifications can mechanically encode regulatory information in diverse contexts."
matt,ewas,36719767,Epigenome-wide association study reveals CpG sites associated with thyroid function and regulatory effects on KLF9.,Thyroid,"Thyroid hormones play a key role in differentiation and metabolism, and are known regulators of gene expression through both genomic and epigenetic processes including DNA methylation. The aim of this study was to examine associations between thyroid hormones and DNA methylation.We carried out a fixed-effect meta-analysis of epigenome-wide association study of blood DNA methylation sites from 8 cohorts from the ThyroidOmics Consortium, incorporating up to 7,073 participants of both European and African ancestry, implementing a discovery and replication stage. Statistical analyses were conducted using normalized beta CpG values as dependent and log-transformed thyrotropin (TSH), free thyroxine and free triiodothyronine levels, respectively, as independent variable in a linear model. The replicated findings were correlated with gene expression levels in whole-blood, and tested for causal influence of TSH and free thyroxine by two-sample Mendelian randomization.Epigenome-wide significant associations (p-value < 1.1E-7) of 3 CpGs for free thyroxine, 5 for free triiodothyronine, and 2 for TSH concentrations were discovered and replicated (combined p-values = 1.5E-9 to 4.3E-28). The associations included CpG sites annotated to KLF9 (cg00049440) and DOT1L (cg04173586) that overlap with all three traits, consistent with hypothalamic-pituitary-thyroid axis physiology. Significant associations were also found for CpGs in FKBP5 for free thyroxine, and at CSNK1D/LINCO1970 and LRRC8D for free triiodothyronine. Mendelian randomization analyses supported a causal effect of thyroid status on DNA methylation of KLF9. DNA methylation of cg00049440 in KLF9 was inversely correlated with KLF9 gene expression in blood. The CpG at CSNK1D/LINC01970 overlapped with thyroid hormone receptor alpha binding peaks in liver cells. The total additive heritability of the methylation levels of the six significant CpG sites was between 25% and 57%. Significant methylation QTLs were identified for CpGs at KLF9, FKBP5, LRRC8D and CSNK1D/LINC01970.We report novel associations between TSH, thyroid hormones and blood-based DNA methylation. This study advances our understanding of thyroid hormone action particularly related to KLF9, and serves as a proof-of-concept that integrations of EWAS with other -omics data can provide a valuable tool for unravelling thyroid hormone signaling in humans by complementing and feeding classical in-vitro and animal studies."
matt,tandem repeats,36577521,Genome-wide evaluation of the effect of short tandem repeat variation on local DNA methylation,Genome Res,"Short tandem repeats (STRs) contribute significantly to genetic diversity in humans, including disease-causing variation. While the effect of STR variation on gene expression has been extensively assessed, their impact on epigenetics has been poorly studied and limited to specific genomic regions. Here, we investigated the hypothesis that some STRs act as independent regulators of local DNA methylation in the human genome, and modify risk of common human traits. To address these questions, we first analyzed two independent datasets comprising PCR-free whole genome sequencing (WGS) and genome-wide DNA methylation levels derived from whole blood samples in 245 (discovery cohort) and 484 individuals (replication cohort). Utilizing genotypes for 131,635 polymorphic STRs derived from WGS using HipSTR, we identified 11,870 STRs that associated with DNA methylation levels (mSTRs) of 11,774 CpGs (Bonferroni p<0.001) in our discovery cohort, with 90% successfully replicating in our second cohort. Subsequently, through fine-mapping using CAVIAR we defined 585 of these mSTRs as the likely causal variants underlying the observed associations (fm-mSTRs), and linked a fraction of these to previously reported genome-wide association study signals, providing insights into the mechanisms underlying complex human traits. Furthermore, by integrating gene expression data, we observed that 12.5% of the tested fm-mSTRs also modulate expression levels of nearby genes, reinforcing their regulatory potential. Overall, our findings expand the catalog of functional sequence variants that affect genome regulation, highlighting the importance of incorporating STRs in future genetic association analysis and epigenetics data for the interpretation of trait-associated variants."
ryan,lung cancer,32134462,Assessment of Biomarker Testing for Lung Cancer Screening Eligibility,JAMA Netw Open,This exploratory study analyzes the cost-effectiveness of incorporating biomarkers into eligibility assessment for lung screening.
ryan,lung cancer,33122336,"Validation of Lung EpiCheck, a novel methylation-based blood assay, for the detection of lung cancer in European and Chinese high-risk individuals",Eur Respir J,"Aim: Lung cancer screening reduces mortality. We aim to validate the performance of Lung EpiCheck, a six-marker panel methylation-based plasma test, in the detection of lung cancer in European and Chinese samples.

Methods: A case-control European training set (n=102 lung cancer cases, n=265 controls) was used to define the panel and algorithm. Two cut-offs were selected, low cut-off (LCO) for high sensitivity and high cut-off (HCO) for high specificity. The performance was validated in case-control European and Chinese validation sets (cases/controls 179/137 and 30/15, respectively).

Results: The European and Chinese validation sets achieved AUCs of 0.882 and 0.899, respectively. The sensitivities/specificities with LCO were 87.2%/64.2% and 76.7%/93.3%, and with HCO they were 74.3%/90.5% and 56.7%/100.0%, respectively. Stage I nonsmall cell lung cancer (NSCLC) sensitivity in European and Chinese samples with LCO was 78.4% and 70.0% and with HCO was 62.2% and 30.0%, respectively. Small cell lung cancer (SCLC) was represented only in the European set and sensitivities with LCO and HCO were 100.0% and 93.3%, respectively. In multivariable analyses of the European validation set, the assay's ability to predict lung cancer was independent of established risk factors (age, smoking, COPD), and overall AUC was 0.942.

Conclusions: Lung EpiCheck demonstrated strong performance in lung cancer prediction in case-control European and Chinese samples, detecting high proportions of early-stage NSCLC and SCLC and significantly improving predictive accuracy when added to established risk factors. Prospective studies are required to confirm these findings. Utilising such a simple and inexpensive blood test has the potential to improve compliance and broaden access to screening for at-risk populations."
ryan,lung cancer,33446580,Biomarkers in lung cancer screening: the importance of study design,Eur Respir J,
ryan,lung cancer,36404465,Design and methodological considerations for biomarker discovery and validation in the Integrative Analysis of Lung Cancer Etiology and Risk (INTEGRAL) Program,Ann Epidemiol,"The Integrative Analysis of Lung Cancer Etiology and Risk (INTEGRAL) program is an NCI-funded initiative with an objective to develop tools to optimize low-dose CT (LDCT) lung cancer screening. Here, we describe the rationale and design for the Risk Biomarker and Nodule Malignancy projects within INTEGRAL. The overarching goal of these projects is to systematically investigate circulating protein markers to include on a panel for use (i) pre-LDCT, to identify people likely to benefit from screening, and (ii) post-LDCT, to differentiate benign versus malignant nodules. To identify informative proteins, the Risk Biomarker project measured 1161 proteins in a nested-case control study within 2 prospective cohorts (n = 252 lung cancer cases and 252 controls) and replicated associations for a subset of proteins in 4 cohorts (n = 479 cases and 479 controls). Eligible participants had a current or former history of smoking and cases were diagnosed up to 3 years following blood draw. The Nodule Malignancy project measured 1078 proteins among participants with a heavy smoking history within four LDCT screening studies (n = 425 cases diagnosed up to 5 years following blood draw, 430 benign-nodule controls, and 398 nodule-free controls). The INTEGRAL panel will enable absolute quantification of 21 proteins. We will evaluate its performance in the Risk Biomarker project using a case-cohort study including 14 cohorts (n = 1696 cases and 2926 subcohort representatives), and in the Nodule Malignancy project within five LDCT screening studies (n = 675 cases, 680 benign-nodule controls, and 648 nodule-free controls). Future progress to advance lung cancer early detection biomarkers will require carefully designed validation, translational, and comparative studies."
ryan,lung cancer,10.1101/2022.07.31.22277301,The Blood Proteome of Imminent Lung Cancer Diagnosis,medarxiv,"Identification of novel risk biomarkers may enhance early detection of smoking-related lung cancer. We measured 1,162 proteins in blood samples drawn at most three years before diagnosis in 731 smoking-matched case-control sets nested within six prospective cohorts from the US, Europe, Singapore, and Australia.

We identified 36 proteins with replicable associations with risk of imminent lung cancer diagnosis (all p<4�10-5). These included several documented tumor markers (e.g. CA-125/MUC-16 and CEACAM5/CEA) but most had not been previously reported. The 36 proteins included several growth factors (e.g. HGF, IGFBP-1, IGFP-2), tumor necrosis factor-receptors (e.g. TNFRSF6B, TNFRSF13B), and chemokines and cytokines (e.g. CXL17, GDF-15, SCF). The odds ratio per standard deviation ranged from 1.31 for IGFBP-1 (95% CI: 1.17-1.47) to 2.43 for CEACAM5 (95% CI: 2.04-2.89). We mapped the 36 proteins to the hallmarks of cancer and found that proliferative signaling, tumor-promoting inflammation, and activation of invasion and metastasis were most frequently implicated."
ryan;matt;paul,methods,36601578,Targeted DNA methylation from cell-free DNA using hybridization probe capture.,NAR Genom Bioinform,"Cell-free (cf)DNA signatures are quickly becoming the target of choice for non-invasive screening, diagnosis, treatment and monitoring of human tumors. DNA methylation changes occur early in tumorigenesis and are widespread, making cfDNA methylation an attractive cancer biomarker. Already a proven technology for targeted genome sequencing, hybridization probe capture is emerging as a method for high-throughput targeted methylation profiling suitable to liquid biopsy samples. However, to date there are no reports describing the performance of this approach in terms of reproducibility, scalability, and accuracy. In the current study we performed hybridization probe capture using the myBaits®Custom Methyl-seq kit on 172 plasma samples and standards to evaluate its performance on cfDNA methylation analysis. The myBaits®assay showed high target recovery (>90%), demonstrated excellent reproducibility between captures (R2 = 0.92 on average), and was unaffected by increasing the number of targets in a capture. Finally, myBaits®accurately replicated 'gold standard' beta values from WGBS (averageR2 = 0.79). The results of this study show that custom targeted methylation sequencing with myBaits®offers a cost-effective, reliable platform to profile DNA methylation at a set of discrete custom regions, with potential applicability to liquid biopsies for cancer monitoring.© The Author(s) 2022. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics."
sam,ewas,36550108,Epigenome-wide meta-analysis identifies DNA methylation biomarkers associated with diabetic kidney disease,Nat Commun,"Type 1 diabetes affects over nine million individuals globally, with approximately 40% developing diabetic kidney disease. Emerging evidence suggests that epigenetic alterations, such as DNA methylation, are involved in diabetic kidney disease. Here we assess differences in blood-derived genome-wide DNA methylation associated with diabetic kidney disease in 1304 carefully characterised individuals with type 1 diabetes and known renal status from two cohorts in the United Kingdom-Republic of Ireland and Finland. In the meta-analysis, we identify 32 differentially methylated CpGs in diabetic kidney disease in type 1 diabetes, 18 of which are located within genes differentially expressed in kidneys or correlated with pathological traits in diabetic kidney disease. We show that methylation at 21 of the 32 CpGs predict the development of kidney failure, extending the knowledge and potentially identifying individuals at greater risk for diabetic kidney disease in type 1 diabetes."
sam,reference,36599988,A DNA methylation atlas of normal human cell types,Nature,"DNA methylation is a fundamental epigenetic mark that governs gene expression and chromatin organization, thus providing a window into cellular identity and developmental processes1. Current datasets typically include only a fraction of methylation sites and are often based either on cell lines that underwent massive changes in culture or on tissues containing unspecified mixtures of cells2-5. Here we describe a human methylome atlas, based on deep whole-genome bisulfite sequencing, allowing fragment-level analysis across thousands of unique markers for 39 cell types sorted from 205 healthy tissue samples. Replicates of the same cell type are more than 99.5% identical, demonstrating the robustness of cell identity programmes to environmental perturbation. Unsupervised clustering of the atlas recapitulates key elements of tissue ontogeny and identifies methylation patterns retained since embryonic development. Loci uniquely unmethylated in an individual cell type often reside in transcriptional enhancers and contain DNA binding sites for tissue-specific transcriptional regulators. Uniquely hypermethylated loci are rare and are enriched for CpG islands, Polycomb targets and CTCF binding sites, suggesting a new role in shaping cell-type-specific chromatin looping. The atlas provides an essential resource for study of gene regulation and disease-associated genetic variants, and a wealth of potential tissue-specific biomarkers for use in liquid biopsies."
