ec,category,pmid,title,source,abstract
Yes,EWAS,33566097,Genome-Wide Epigenetic Signatures of Adaptive Developmental Plasticity in the Andes.,Genome Biol Evol,"High-altitude adaptation is a classic example of natural selection operating on the human genome. Physiological and genetic adaptations have been documented in populations with a history of living at high altitude. However, the role of epigenetic gene regulation, including DNA methylation, in high-altitude adaptation is not well understood. We performed an epigenome-wide DNA methylation association study based on whole blood from 113 Peruvian Quechua with differential lifetime exposures to high altitude (>2,500) and recruited based on a migrant study design. We identified two significant differentially methylated positions (DMPs) and 62 differentially methylated regions (DMRs) associated with high-altitude developmental and lifelong exposure statuses. DMPs and DMRs were found in genes associated with hypoxia-inducible factor pathway, red blood cell production, blood pressure, and others. DMPs and DMRs associated with fractional exhaled nitric oxide also were identified. We found a significant association between EPAS1 methylation and EPAS1 SNP genotypes, suggesting that local genetic variation influences patterns of methylation. Our findings demonstrate that DNA methylation is associated with early developmental and lifelong high-altitude exposures among Peruvian Quechua as well as altitude-adaptive phenotypes. Together these findings suggest that epigenetic mechanisms might be involved in adaptive developmental plasticity to high altitude. Moreover, we show that local genetic variation is associated with DNA methylation levels, suggesting that methylation associated SNPs could be a potential avenue for research on genetic adaptation to hypoxia in Andeans.© The Author(s) 2020. Published by Oxford University Press on behalf of the Society for Molecular Biology and Evolution."
Yes,EWAS,33564054,Identification of epigenetic memory candidates associated with gestational age at birth through analysis of methylome and transcriptional data.,Sci Rep,"Preterm birth is known to be associated with chronic disease risk in adulthood whereby epigenetic memory may play a mechanistic role in disease susceptibility. Gestational age (GA) is the most important prognostic factor for preterm infants, and numerous DNA methylation alterations associated with GA have been revealed by epigenome-wide association studies. However, in human preterm infants, whether the methylation changes relate to transcription in the fetal state and persist after birth remains to be elucidated. Here, we identified 461 transcripts associated with GA (range 23-41 weeks) and 2093 candidate CpG sites for GA-involved epigenetic memory through analysis of methylome (110 cord blood and 47 postnatal blood) and transcriptional data (55 cord blood). Moreover, we discovered the trends of chromatin state, such as polycomb-binding, among these candidate sites. Fifty-four memory candidate sites showed correlation between methylation and transcription, and the representative corresponding gene was UCN, which encodes urocortin."
No,Biomarker,33560371,A serum-based DNA methylation assay provides accurate detection of glioma.,Neuro Oncol,"The detection of somatic mutations in cell-free DNA (cfDNA) from liquid biopsy has emerged as a non-invasive tool to monitor the follow-up of cancer patients. However, the significance of cfDNA clinical utility remains uncertain in patients with brain tumors, primarily because of the limited sensitivity cfDNA has to detect real tumor-specific somatic mutations. This unresolved challenge has prevented accurate follow-up of glioma patients with non-invasive approaches.Genome-wide DNA methylation profiling of tumor tissue and serum cell-free DNA of glioma patients.Here, we developed a non-invasive approach to profile the DNA methylation status in the serum of patients with gliomas and identified a cfDNA-derived methylation signature that is associated with the presence of gliomas and related immune features. By testing the signature in an independent discovery and validation cohorts, we developed and verified a score metric (the ""glioma epigenetic liquid biopsy score"" or GeLB) that optimally distinguished patients with or without glioma (sensitivity: 100%, specificity: 97.78%). Furthermore, we found that changes in GeLB score reflected clinicopathological changes during surveillance (e.g., progression, pseudoprogression or response to standard or experimental treatment).Our results suggest that the GeLB score can be used as a complementary approach to diagnose and follow up patients with glioma.© The Author(s) 2021. Published by Oxford University Press on behalf of the Society for Neuro-Oncology. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com."
Yes,EWAS,33554115,Cross-reactive probes on Illumina DNA methylation arrays: a large study on ALS shows that a cautionary approach is warranted in interpreting epigenome-wide association studies.,NAR Genom Bioinform,"Illumina DNA methylation arrays are a widely used tool for performing genome-wide DNA methylation analyses. However, measurements obtained from these arrays may be affected by technical artefacts that result in spurious associations if left unchecked. Cross-reactivity represents one of the major challenges, meaning that probes may map to multiple regions in the genome. Although several studies have reported on this issue, few studies have empirically examined the impact of cross-reactivity in an epigenome-wide association study (EWAS). In this paper, we report on cross-reactivity issues that we discovered in a large EWAS on the presence of theC9orf72repeat expansion in ALS patients. Specifically, we found that that the majority of the significant probes inadvertently cross-hybridized to theC9orf72locus. Importantly, these probes were not flagged as cross-reactive in previous studies, leading to novel insights into the extent to which cross-reactivity can impact EWAS. Our findings are particularly relevant for epigenetic studies into diseases associated with repeat expansions and other types of structural variation. More generally however, considering that most spurious associations were not excluded based on pre-defined sets of cross-reactive probes, we believe that the presented data-driven flag and consider approach is relevant for any type of EWAS.© The Author(s) 2020. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics."
Yes,EWAS,33550919,Adiposity associated DNA methylation signatures in adolescents are related to leptin and perinatal factors.,Epigenetics,"Epigenetics links perinatal influences with later obesity. We identifed differentially methylated CpG (dmCpG) loci measured at 17 years associated with concurrent adiposity measures and examined whether these were associated with hsCRP, adipokines, and early life environmental factors. Genome-wide DNA methylation from 1192 Raine Study participants at 17 years, identified 29 dmCpGs (Bonferroni corrected p < 1.06E-07) associated with body mass index (BMI), 10 with waist circumference (WC) and 9 with subcutaneous fat thickness. DmCpGs within Ras Association (RalGDS/AF-6), Pleckstrin Homology Domains 1 (RAPH1), Musashi RNA-Binding Protein 2 (MSI2), and solute carrier family 25 member 10 (SLC25A10) are associated with both BMI and WC. Validation by pyrosequencing confirmed these associations and showed thatMSI2,SLC25A10, andRAPH1methylation was positively associated with serum leptin. These were  also associated with the early environment;MSI2methylation (β = 0.81, p = 0.0004) was associated with pregnancy maternal smoking,SLC25A10(CpG2 β = 0.12, p = 0.002) with pre- and early pregnancy BMI, andRAPH1(β = -1.49, p = 0.036) with gestational weight gain. Adjusting for perinatal factors, methylation of the dmCpGs withinMSI2, RAPH1,andSLC25A10independently predicted BMI, accounting for 24% of variance.MSI2methylation was additionally associated with BMI over time (17 years old β = 0.026, p = 0.0025; 20 years old β = 0.027, p = 0.0029) and between generations (mother β = 0.044, p = 7.5e-04). Overall findings suggest that DNA methylation inMSI2,RAPH1, andSLC25A10in blood may be robust markers, mediating through early life factors."
Yes,EWAS,33547282,The genome-wide impact of trisomy 21 on DNA methylation and its implications for hematopoiesis.,Nat Commun,"Down syndrome is associated with genome-wide perturbation of gene expression, which may be mediated by epigenetic changes. We perform an epigenome-wide association study on neonatal bloodspots comparing 196 newborns with Down syndrome and 439 newborns without Down syndrome, adjusting for cell-type heterogeneity, which identifies 652 epigenome-wide significant CpGs (P < 7.67 × 10-8) and 1,052 differentially methylated regions. Differential methylation at promoter/enhancer regions correlates with gene expression changes in Down syndrome versus non-Down syndrome fetal liver hematopoietic stem/progenitor cells (P < 0.0001). The top two differentially methylated regions overlap RUNX1 and FLI1, both important regulators of megakaryopoiesis and hematopoietic development, with significant hypermethylation at promoter regions of these two genes. Excluding Down syndrome newborns harboring preleukemic GATA1 mutations (N = 30), identified by targeted sequencing, has minimal impact on the epigenome-wide association study results. Down syndrome has profound, genome-wide effects on DNA methylation in hematopoietic cells in early life, which may contribute to the high frequency of hematological problems, including leukemia, in children with Down syndrome."
Yes,EWAS,33542190,DNA methylation differences associated with social anxiety disorder and early life adversity.,Transl Psychiatry,"Social anxiety disorder (SAD) is a psychiatric disorder characterized by extensive fear in social situations. Multiple genetic and environmental factors are known to contribute to its pathogenesis. One of the main environmental risk factors is early life adversity (ELA). Evidence is emerging that epigenetic mechanisms such as DNA methylation might play an important role in the biological mechanisms underlying SAD and ELA. To investigate the relationship between ELA, DNA methylation, and SAD, we performed an epigenome-wide association study for SAD and ELA examining DNA from whole blood of a cohort of 143 individuals using DNA methylation arrays. We identified two differentially methylated regions (DMRs) associated with SAD located within the genes SLC43A2 and TNXB. As this was the first epigenome-wide association study for SAD, it is worth noting that both genes have previously been associated with panic disorder. Further, we identified two DMRs associated with ELA within the SLC17A3 promoter region and the SIAH3 gene and several DMRs that were associated with the interaction of SAD and ELA. Of these, the regions within C2CD2L and MRPL28 showed the largest difference in DNA methylation. Lastly, we found that two DMRs were associated with both the severity of social anxiety and ELA, however, neither of them was found to mediate the contribution of ELA to SAD later in life. Future studies are needed to replicate our findings in independent cohorts and to investigate the biological pathways underlying these effects."
Yes,EWAS,33528912,Novel DNA methylation marker discovery by assumption-free genome-wide association analysis of cognitive function in twins.,Aging Cell,"Privileged by rapid increase in available epigenomic data, epigenome-wide association studies (EWAS) are to make a profound contribution to understand the molecular mechanism of DNA methylation in cognitive aging. Current statistical methods used in EWAS are dominated by models based on multiple assumptions, for example, linear relationship between molecular profiles and phenotype, normal distribution for the methylation data and phenotype. In this study, we applied an assumption-free method, the generalized correlation coefficient (GCC), and compare it to linear models, namely the linear mixed model and kinship model. We use DNA methylation associated with a cognitive score in 400 and 206 twins as discovery and replication samples respectively. DNA methylation associated with cognitive function using GCC, linear mixed model, and kinship model, identified 65 CpGs (p < 1e-04) from discovery sample displaying both nonlinear and linear correlations. Replication analysis successfully replicated 9 of these top CpGs. When combining results of GCC and linear models to cover diverse patterns of relationships, we identified genes like KLHDC4, PAPSS2, and MRPS18B as well as pathways including focal adhesion, axon guidance, and some neurological signaling. Genomic region-based analysis found 15 methylated regions harboring 11 genes, with three verified in gene expression analysis, also the 11 genes were related to top functional clusters including neurohypophyseal hormone and maternal aggressive behaviors. The GCC approach detects valuable methylation sites missed by traditional linear models. A combination of methylation markers from GCC and linear models enriched biological pathways sensible in neurological function that could implicate cognitive performance and cognitive aging.© 2020 The Authors. Aging Cell published by the Anatomical Society and John Wiley & Sons Ltd."
No,Omics,33523105,"Identification of Candidate Parkinson Disease Genes by Integrating Genome-Wide Association Study, Expression, and Epigenetic Data Sets.",JAMA Neurol,"Substantial genome-wide association study (GWAS) work in Parkinson disease (PD) has led to the discovery of an increasing number of loci shown reliably to be associated with increased risk of disease. Improved understanding of the underlying genes and mechanisms at these loci will be key to understanding the pathogenesis of PD.To investigate what genes and genomic processes underlie the risk of sporadic PD.This genetic association study used the bioinformatic tools Coloc and transcriptome-wide association study (TWAS) to integrate PD case-control GWAS data published in 2017 with expression data (from Braineac, the Genotype-Tissue Expression [GTEx], and CommonMind) and methylation data (derived from UK Parkinson brain samples) to uncover putative gene expression and splicing mechanisms associated with PD GWAS signals. Candidate genes were further characterized using cell-type specificity, weighted gene coexpression networks, and weighted protein-protein interaction networks.It was hypothesized a priori that some genes underlying PD loci would alter PD risk through changes to expression, splicing, or methylation. Candidate genes are presented whose change in expression, splicing, or methylation are associated with risk of PD as well as the functional pathways and cell types in which these genes have an important role.Gene-level analysis of expression revealed 5 genes (WDR6 [OMIM 606031], CD38 [OMIM 107270], GPNMB [OMIM 604368], RAB29 [OMIM 603949], and TMEM163 [OMIM 618978]) that replicated using both Coloc and TWAS analyses in both the GTEx and Braineac expression data sets. A further 6 genes (ZRANB3 [OMIM 615655], PCGF3 [OMIM 617543], NEK1 [OMIM 604588], NUPL2 [NCBI 11097], GALC [OMIM 606890], and CTSB [OMIM 116810]) showed evidence of disease-associated splicing effects. Cell-type specificity analysis revealed that gene expression was overall more prevalent in glial cell types compared with neurons. The weighted gene coexpression performed on the GTEx data set showed that NUPL2 is a key gene in 3 modules implicated in catabolic processes associated with protein ubiquitination and in the ubiquitin-dependent protein catabolic process in the nucleus accumbens, caudate, and putamen. TMEM163 and ZRANB3 were both important in modules in the frontal cortex and caudate, respectively, indicating regulation of signaling and cell communication. Protein interactor analysis and simulations using random networks demonstrated that the candidate genes interact significantly more with known mendelian PD and parkinsonism proteins than would be expected by chance.Together, these results suggest that several candidate genes and pathways are associated with the findings observed in PD GWAS studies."
Yes,EWAS,33517419,Paternal body mass index and offspring DNA methylation: findings from the PACE consortium.,Int J Epidemiol,"Accumulating evidence links paternal adiposity in the periconceptional period to offspring health outcomes. DNA methylation has been proposed as a mediating mechanism, but very few studies have explored this possibility in humans.In the Pregnancy And Childhood Epigenetics (PACE) consortium, we conducted a meta-analysis of coordinated epigenome-wide association studies (EWAS) of paternal prenatal body mass index (BMI) (with and without adjustment for maternal BMI) in relation to DNA methylation in offspring blood at birth (13 data sets; total n = 4894) and in childhood (6 data sets; total n = 1982).We found little evidence of an association at either time point: at all CpGs, the false-discovery-rate-adjusted P-values were >0.05. In secondary sex-stratified analyses, we found just four CpGs for which there was robust evidence of an association in female offspring. To compare our findings to those of other studies, we conducted a systematic review, which identified seven studies, including five candidate gene studies showing associations between paternal BMI/obesity and offspring or sperm DNA methylation at imprinted regions. However, in our own study, we found very little evidence of enrichment for imprinted genes.Our findings do not support the hypothesis that paternal BMI around the time of pregnancy is associated with offspring-blood DNA methylation, even at imprinted regions.© The Author(s) 2021. Published by Oxford University Press on behalf of the International Epidemiological Association."
