present,ec,type,pmid,title,source,abstract
,No,dnam age,36346848,In utero exposure to the Great Depression is reflected in late-life epigenetic aging signatures.,Proc Natl Acad Sci U S A,"Research on maternal-fetal epigenetic programming argues that adverse exposures to the intrauterine environment can have long-term effects on adult morbidity and mortality. However, causal research on epigenetic programming in humans at a population level is rare and is often unable to separate intrauterine effects from conditions in the postnatal period that may continue to impact child development. In this study, we used a quasi-natural experiment that leverages state-year variation in economic shocks during the Great Depression to examine the causal effect of environmental exposures in early life on late-life accelerated epigenetic aging for 832 participants in the US Health and Retirement Study (HRS). HRS is the first population-representative study to collect epigenome-wide DNA methylation data that has the sample size and geographic variation necessary to exploit quasi-random variation in state environments, which expands possibilities for causal research in epigenetics. Our findings suggest that exposure to changing economic conditions in the 1930s had lasting impacts on next-generation epigenetic aging signatures that were developed to predict mortality risk (GrimAge) and physiological decline (DunedinPoAm). We show that these effects are localized to the in utero period specifically as opposed to the preconception, postnatal, childhood, or early adolescent periods. After evaluating endogenous shifts in mortality and fertility related to Depression-era birth cohorts, we conclude that these effects likely represent lower bound estimates of the true impacts of the economic shock on long-term epigenetic aging."
,No,dnam age,36304118,A set of common buccal CpGs that predict epigenetic age and associate with lifespan-regulating genes.,iScience,"Epigenetic aging clocks are computational models that use DNA methylation sites to predict age. Since cheek swabs are non-invasive and painless, collecting DNA from buccal tissue is highly desirable. Here, we review 11 existing clocks that have been applied to buccal tissue. Two of these were exclusively trained on adults and, while moderately accurate, have not been used to capture health-relevant differences in epigenetic age. Using 130 common CpGs utilized by two or more existing buccal clocks, we generate a proof-of-concept predictor in an adult methylomic dataset. In addition to accurately estimating age (r = 0.95 and mean absolute error = 3.88 years), this clock predicted that Down syndrome subjects were significantly older relative to controls. A literature and database review of CpG-associated genes identified numerous genes (e.g.,CLOCK,ELOVL2, andVGF) and molecules (e.g., alpha-linolenic acid, glycine, and spermidine) reported to influence lifespan and/or age-related disease in model organisms.© 2022 The Author(s)."
,No,dnam age,36294002,Do Loneliness and Per Capita Income Combine to Increase the Pace of Biological Aging for Black Adults across Late Middle Age?,Int J Environ Res Public Health,"In a sample of 685 late middle-aged Black adults (M age at 2019 = 57.17 years), we examined the effects of loneliness and per capita income on accelerated aging using a newly developed DNA-methylation based index: the DunedinPACE. First, using linear, mixed effects regression in a growth curve framework, we found that change in DunedinPACE was dependent on age, with a linear model best fitting the data (b = 0.004,p&lt; 0.001), indicating that average pace of change increased among older participants. A quadratic effect was also tested, but was non-significant. Beyond the effect of age, both change in loneliness (b = 0.009,p&lt; 0.05) and change in per capita income (b = -0.016,p&lt; 0.001) were significantly associated with change in DunedinPACE across an 11-year period, accounting for significant between person variability observed in the unconditional model. Including non-self-report indices of smoking and alcohol use did not reduce the association of loneliness or per capita income with DunedinPACE. However, change in smoking was strongly associated with change in DunedinPACE such that those reducing their smoking aged less rapidly than those continuing to smoke. In addition, both loneliness and per capita income were associated with DunedinPACE after controlling for variation in cell-types."
,No,dnam age,36292773,Epigenetic and Proteomic Biomarkers of Elevated Alcohol Use Predict Epigenetic Aging and Cell-Type variation Better Than Self-Report.,Genes (Basel),"Excessive alcohol consumption (EAC) has a generally accepted effect on morbidity and mortality, outcomes thought to be reflected in measures of epigenetic aging (EA). As the association of self-reported EAC with EA has not been consistent with these expectations, underscoring the need for readily employable non-self-report tools for accurately assessing and monitoring the contribution of EAC to accelerated EA, newly developed alcohol consumption DNA methylation indices, such as the Alcohol T Score (ATS) and Methyl DetectR (MDR), may be helpful. To test that hypothesis, we used these new indices along with the carbohydrate deficient transferrin (CDT), concurrent as well as past self-reports of EAC, and well-established measures of cigarette smoking to examine the relationship of EAC to both accelerated EA and immune cell counts in a cohort of 437 young Black American adults. We found that MDR, CDT, and ATS were intercorrelated, even after controlling for gender and cotinine effects. Correlations between EA and self-reported EAC were low or non-significant, replicating prior research, whereas correlations with non-self-report indices were significant and more substantial. Comparing non-self-report indices showed that the ATS predicted more than four times as much variance in EA, CDT4 cells and B-cells as for both the MDR and CDT, and better predicted indices of accelerated EA. We conclude that each of the non-self-report indices have differing predictive capacities with respect to key alcohol-related health outcomes, and that the ATS may be particularly useful for clinicians seeking to understand and prevent accelerated EA. The results also underscore the likelihood of substantial underestimates of problematic use when self-report is used and a reduction in correlations with EA and variance in cell-types."
,No,dnam age,36289503,Marijuana use and DNA methylation-based biological age in young adults.,Clin Epigenetics,"Marijuana is the third most commonly used drug in the USA and efforts to legalize it for medical and recreational use are growing. Despite the increase in use, marijuana's effect on aging remains understudied and understanding the effects of marijuana on molecular aging may provide novel insights into the role of marijuana in the aging process. We therefore sought to investigate the association between cumulative and recent use of marijuana with epigenetic age acceleration (EAA) as estimated from blood DNA methylation.A random subset of participants from The Coronary Artery Risk Development in Young Adults (CARDIA) Study with available whole blood at examination years (Y) 15 and Y20 underwent epigenomic profiling. Four EAA estimates (intrinsic epigenetic age acceleration, extrinsic epigenetic age acceleration, PhenoAge acceleration, and GrimAge acceleration) were calculated from DNA methylation levels measured at Y15 and Y20. Ever use and cumulative marijuana-years were calculated from the baseline visit to Y15 and Y20, and recent marijuana use (both any and number of days of use in the last 30 days) were calculated at Y15 and Y20. Ever use of marijuana and each additional marijuana-year were associated with a 6-month (P < 0.001) and a 2.5-month (P < 0.001) higher average in GrimAge acceleration (GAA) using generalized estimating equations, respectively. Recent use and each additional day of recent use were associated with a 20-month (P < 0.001) and a 1-month (P < 0.001) higher GAA, respectively. A statistical interaction between marijuana-years and alcohol consumption on GAA was observed (P = 0.011), with nondrinkers exhibiting a higher GAA (β = 0.21 [95% CI 0.05, 0.36], P = 0.008) compared to heavy drinkers (β = 0.05 [95% CI - 0.09, 0.18], P = 0.500) per each additional marijuana-year. No associations were observed for the remaining EAA estimates.These findings suggest cumulative and recent marijuana use are associated with age-related epigenetic changes that are related to lifespan. These observed associations may be modified by alcohol consumption. Given the increase in use and legalization, these findings provide novel insight on the effect of marijuana use on the aging process as captured through blood DNA methylation.© 2022. The Author(s)."
,No,dnam age,36227464,Maternal Adversity and Epigenetic Age Acceleration Predict Heightened Emotional Reactivity in Offspring: Implications for Intergenerational Transmission of Risk.,Res Child Adolesc Psychopathol,"Black American women are disproportionately exposed to adversities that may have an intergenerational impact on mental health. The present study examined whether maternal exposure to adversity and epigenetic age acceleration (EAA; a biomarker of stress exposure) predicts the socioemotional health of her offspring. During pregnancy, 180 Black American women self-reported experiences of childhood adversity and marginalization-related adversity (i.e., racial discrimination and gendered racial stress) and provided a blood sample for epigenetic assessment. At a three-year follow-up visit, women reported their offspring's emotional reactivity (an early indicator of psychopathology) via the CBCL/1.5-5. After adjusting for maternal education and offspring sex, results indicated that greater maternal experiences of childhood trauma (β = 0.21, SE(β) = 0.01; p = 0.01) and racial discrimination (β = 0.14, SE(β) = 0.07; p = 0.049) predicted greater offspring emotional reactivity, as did maternal EAA (β = 0.17, SE(β) = 0.09, p = 0.046). Our findings suggest that maternal EAA could serve as an early biomarker for intergenerational risk conferred by maternal adversity, and that 'maternal adversity' must be defined more broadly to include social marginalization, particularly for Black Americans.© 2022. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
x,No,ewas,36345830,Association Between DNA Methylation and Blood Pressure: A 5-Year Longitudinal Twin Study.,Hypertension,"Previous EWASs (Epigenome-Wide Association Studies) have reported hundreds of blood pressure (BP) associated 5'-cytosine-phosphate-guanine-3' (CpG) sites. However, their results were inconsistent. Longitudinal observations on the temporal relationship between DNA methylation and BP are lacking.A candidate CpG site association study for BP was conducted on 1072 twins in the Chinese National Twin Registry. PubMed and EMBASE were searched for candidate CpG sites. Cross-lagged models were used to assess the temporal relationship between BP and DNA methylation in 308 twins who completed 2 surveys in 2013 and 2018. Then, the significant cross-lagged associations were validated by adopting the Inference About Causation From Examination of Familial Confounding approach. Finally, to evaluate the cumulative effects of DNA methylation on the progression of hypertension, we established methylation risk scores based on BP-associated CpG sites and performed Markov multistate models.16 and 20 CpG sites were validated to be associated with systolic BP and diastolic BP, respectively. In the cross-lagged analysis, we detected that methylation of 2 CpG sites could predict subsequent systolic BP, and systolic BP predicted methylation at another 3 CpG sites. For diastolic BP, methylation at 3 CpG sites had significant cross-lagged effects for predicting diastolic BP levels, while the prediction from the opposite direction was observed at one site. Among these, 3 associations were validated in the Inference About Causation From Examination of Familial Confounding analysis. Using the Markov multistate model, we observed that methylation risk scores were associated with the development of hypertension.Our findings suggest the significance of DNA methylation in the development of hypertension."
,Yes,ewas,36344488,Epigenome-wide DNA methylation analysis of whole blood cells derived from patients with GAD and OCD in the Chinese Han population.,Transl Psychiatry,"Generalized anxiety disorder (GAD) and obsessive-compulsive disorder (OCD) had high comorbidity and affected more than 44 million people around the world leading to a huge burden on health and economy. Here, we conducted an epigenome-wide DNA methylation study employing 93 patients with GAD, 65 patients with OCD, and 302 health controls, to explore epigenetic alterations associated with the onset and differences of GAD and OCD. We identified multiple differentially methylated positions (DMPs) and regions (DMRs): three DMP genes included RIOK3 (cg21515243, p = 8.00 × 10-10), DNASE2 (cg09379601, p = 1.10 × 10-9), and PSMB4 (cg01334186, p = 3.70 × 10-7) and two DMR genes USP6NL (p = 4.50 × 10-4) and CPLX1 (p = 6.95 × 10-4) were associated with the onset of GAD and OCD; three DMPs genes included LDLRAP1 (cg21400344, p = 4.40 × 10-12), ACIN1 (cg23712970, p = 2.98×10-11), and SCRT1 (cg25472897, p = 5.60 × 10-11) and three DMR genes WDR19 (p = 3.39 × 10-3), SYCP1 (p = 6.41 × 10-3), and FAM172A (p = 5.74 × 10-3) were associated with the differences between GAD and OCD. Investigation of epigenetic age and chronological age revealed a different epigenetic development trajectory of GAD and OCD. Conclusively, our findings which yielded robust models may aid in distinguishing patients from healthy controls (AUC = 0.90-0.99) or classifying patients with GAD and OCD (AUC = 0.89-0.99), and may power the precision medicine for them.© 2022. The Author(s)."
,Yes,ewas,36326208,Meta-analysis of DNA methylation datasets shows aberrant DNA methylation of thyroid development or function genes in Down syndrome.,Thyroid,"In Down syndrome (DS) there is a high occurrence of congenital hypothyroidism (CH) and subclinical hypothyroidism (SH) early in life. The etiology of CH and early SH in DS remains unclear. Previous research has shown genome-wide transcriptional and epigenetic alterations in DS. Thus, we hypothesized that CH and early SH could be caused by epigenetically driven transcriptional downregulation of thyroid-related genes, through promoter region hypermethylation.We extracted whole blood DNA methylation (DNAm) profiles of DS and non-DS individuals from four independent Illumina array-based datasets (252 DS individuals and 519 non-DS individuals). The data were divided in a discovery and validation dataset. Epigenome-wide association analysis was performed using a linear regression model, after which we filtered for thyroid-related genes.In the discovery dataset, we identified significant associations for DS in 18 thyroid-related genes. 21 of 30 significant differentially methylated positions (DMPs) were also significant in the validation dataset. A meta-analysis of the discovery and validation datasets detected 31 DMPs, including 29 promoter-associated CpGs with identical direction of effect across the datasets, and two differentially methylated regions (DMRs). 27 DMPs were hypomethylated and promoter-associated. The mean methylation difference of hypomethylated thyroid-related DMPs decreased with age.Contrary to our hypothesis of generalized hypermethylation of promoter regions of thyroid-related genes - indicative of epigenetic silencing of promoters and subsequent transcriptional downregulation, causing the biochemical thyroid abnormalities in DS -, we found an enrichment of hypomethylated DMPs annotated to promoter regions of these genes. This suggests that CH and early SH in DS are not caused by differential methylation of thyroid-related genes. Considering epigenetic regulation is dynamic, we hypothesize the observed thyroid-related gene DNAm changes could be a rescue phenomenon in an attempt to ameliorate the thyroid phenotype, through epigenetic upregulation of thyroid-related genes. This hypothesis is supported by the finding of decreasing methylation difference of thyroid-related genes with age. The prevalence of early SH declines with age, so hypothetically, epigenetic upregulation of thyroid-related genes also diminishes. While this study provides interesting insights, the exact origin of CH and early SH in DS remains unknown."
,Yes,ewas,36325427,Immune system disruptions implicated in whole blood epigenome-wide association study of depression among Parkinson's disease patients.,Brain Behav Immun Health,"Although Parkinson's Disease (PD) is typically described in terms of motor symptoms, depression is a common feature. We explored whether depression influences blood-based genome-wide DNA methylation (DNAm) in 692 subjects from a population-based PD case-control study, using both a history of clinically diagnosed depression and current depressive symptoms measured by the geriatric depression scale (GDS). While PD patients in general had more immune activation and more accelerated epigenetic immune system aging than controls, the patients experiencing current depressive symptoms (GDS≥5) showed even higher levels of both markers than patients without current depressive symptoms (GDS<5). For PD patients with a history of clinical depression compared to those without, we found no differences in immune cell composition. However, a history of clinical depression among patients was associated with differentially methylated CpGs. Epigenome-wide association analysis (EWAS) revealed 35 CpGs associated at an FDR≤0.05 (569 CpGs at FDR≤0.10, 1718 CpGs at FDR≤0.15). Gene set enrichment analysis implicated immune system pathways, including immunoregulatory interactions between lymphoid and non-lymphoid cells (p-adj = 0.003) and cytokine-cytokine receptor interaction (p-adj = 0.004). Based on functional genomics, 25 (71%) of the FDR≤0.05 CpGs were associated with genetic variation at 45 different methylation quantitative trait loci (meQTL). Twenty-six of the meQTLs were also expression QTLs (eQTLs) associated with the abundance of 53 transcripts in blood and 22 transcripts in brain (substantia nigra, putamen basal ganglia, or frontal cortex). Notably, cg15199181 was strongly related to rs823114 (SNP-CpG p-value = 3.27E-310), a SNP identified in a PD meta-GWAS and related to differential expression ofPM20D1,RAB29,SLC41A1, andNUCKS1. The entire set of genes detected through functional genomics was most strongly overrepresented for interferon-gamma-mediated signaling pathway (enrichment ratio = 18.8, FDR = 4.4e-03) and T cell receptor signaling pathway (enrichment ratio = 13.2, FDR = 4.4e-03). Overall, the current study provides evidence of immune system involvement in depression among Parkinson's patients.© 2022 The Authors."
