ec,type,pmid,title,source,abstract
No,DNAm age,34747582,When Anger Remains Unspoken: Anger and Accelerated Epigenetic Aging Among Stress-Exposed Black Americans.,Psychosom Med,"Race-related lifetime stress exposure (LSE) including racial discrimination, trauma, and stressful life events have been shown to contribute to racial health disparities. However, little is known about associations between race-related stressors and premature biological aging that confer the risk of adverse health outcomes. Even less is known about the mechanisms through which race-related stressors may be associated with accelerated aging. Early evidence suggests psychological processes such as anger, and particularly the internalization of anger, may play a role.In a community sample of predominantly low-income Black adults (n = 219; age = 45.91 [12.33] years; 64% female), the present study examined the association of race-related LSE (as defined by exposure to racial discrimination, trauma, and stressful life events) and epigenetic age acceleration through anger expression.Internalized and externalized anger expression were each significantly associated with LSE and age acceleration. Although LSE was not directly associated with age acceleration (ΔR2 = 0.001, p = .64), we found that greater LSE was indirectly associated with age acceleration through increases in internalized, but not externalized, anger (indirect effect: β = 0.03, standard error = 0.02, 95% confidence interval = 0.003 to 0.08; total effect: β = 0.02, 95% confidence interval = -0.25 to 0.31).These results suggest race-related LSE may elicit the internalization of anger, which, along with the externalization of anger, may initiate detrimental epigenetic alterations that confer the risk of adverse health outcomes. These findings lay the groundwork for longitudinal studies of the association between race-related stress and racial health disparities.Copyright © 2021 by the American Psychosomatic Society."
No,Epigenetics,34795220,Epromoters function as a hub to recruit key transcription factors required for the inflammatory response.,Nat Commun,"Gene expression is controlled by the involvement of gene-proximal (promoters) and distal (enhancers) regulatory elements. Our previous results demonstrated that a subset of gene promoters, termed Epromoters, work as bona fide enhancers and regulate distal gene expression. Here, we hypothesized that Epromoters play a key role in the coordination of rapid gene induction during the inflammatory response. Using a high-throughput reporter assay we explored the function of Epromoters in response to type I interferon. We find that clusters of IFNa-induced genes are frequently associated with Epromoters and that these regulatory elements preferentially recruit the STAT1/2 and IRF transcription factors and distally regulate the activation of interferon-response genes. Consistently, we identified and validated the involvement of Epromoter-containing clusters in the regulation of LPS-stimulated macrophages. Our findings suggest that Epromoters function as a local hub recruiting the key TFs required for coordinated regulation of gene clusters during the inflammatory response.© 2021. The Author(s)."
No,Epigenetics,34789882,Cell-type specialization is encoded by specific chromatin topologies.,Nature,"The three-dimensional (3D) structure of chromatin is intrinsically associated with gene regulation and cell function1-3. Methods based on chromatin conformation capture have mapped chromatin structures in neuronal systems such as in vitro differentiated neurons, neurons isolated through fluorescence-activated cell sorting from cortical tissues pooled from different animals and from dissociated whole hippocampi4-6. However, changes in chromatin organization captured by imaging, such as the relocation of Bdnf away from the nuclear periphery after activation7, are invisible with such approaches8. Here we developed immunoGAM, an extension of genome architecture mapping (GAM)2,9, to map 3D chromatin topology genome-wide in specific brain cell types, without tissue disruption, from single animals. GAM is a ligation-free technology that maps genome topology by sequencing the DNA content from thin (about 220 nm) nuclear cryosections. Chromatin interactions are identified from the increased probability of co-segregation of contacting loci across a collection of nuclear slices. ImmunoGAM expands the scope of GAM to enable the selection of specific cell types using low cell numbers (approximately 1,000 cells) within a complex tissue and avoids tissue dissociation2,10. We report cell-type specialized 3D chromatin structures at multiple genomic scales that relate to patterns of gene expression. We discover extensive 'melting' of long genes when they are highly expressed and/or have high chromatin accessibility. The contacts most specific of neuron subtypes contain genes associated with specialized processes, such as addiction and synaptic plasticity, which harbour putative binding sites for neuronal transcription factors within accessible chromatin regions. Moreover, sensory receptor genes are preferentially found in heterochromatic compartments in brain cells, which establish strong contacts across tens of megabases. Our results demonstrate that highly specific chromatin conformations in brain cells are tightly related to gene regulation mechanisms and specialized functions.© 2021. The Author(s)."
No,EWAS,34732256,Epigenetic adaptations of the masticatory mucosa to periodontal inflammation.,Clin Epigenetics,"In mucosal barrier interfaces, flexible responses of gene expression to long-term environmental changes allow adaptation and fine-tuning for the balance of host defense and uncontrolled not-resolving inflammation. Epigenetic modifications of the chromatin confer plasticity to the genetic information and give insight into how tissues use the genetic information to adapt to environmental factors. The oral mucosa is particularly exposed to environmental stressors such as a variable microbiota. Likewise, persistent oral inflammation is the most important intrinsic risk factor for the oral inflammatory disease periodontitis and has strong potential to alter DNA-methylation patterns. The aim of the current study was to identify epigenetic changes of the oral masticatory mucosa in response to long-term inflammation that resulted in periodontitis.Genome-wide CpG methylation of both inflamed and clinically uninflamed solid gingival tissue biopsies of 60 periodontitis cases was analyzed using the Infinium MethylationEPIC BeadChip. We validated and performed cell-type deconvolution for infiltrated immune cells using the EpiDish algorithm. Effect sizes of DMPs in gingival epithelial and fibroblast cells were estimated and adjusted for confounding factors using our recently developed ""intercept-method"". In the current EWAS, we identified various genes that showed significantly different methylation between periodontitis-inflamed and uninflamed oral mucosa in periodontitis patients. The strongest differences were observed for genes with roles in wound healing (ROBO2, PTP4A3), cell adhesion (LPXN) and innate immune response (CCL26, DNAJC1, BPI). Enrichment analyses implied a role of epigenetic changes for vesicle trafficking gene sets.Our results imply specific adaptations of the oral mucosa to a persistent inflammatory environment that involve wound repair, barrier integrity, and innate immune defense.© 2021. The Author(s)."
No,EWAS,34799556,Genome-wide differentially methylated genes associated with posttraumatic stress disorder and longitudinal change in methylation in rape survivors.,Transl Psychiatry,"Rape is associated with a high risk for posttraumatic stress disorder (PTSD). DNA methylation changes may confer risk or protection for PTSD following rape by regulating the expression of genes implicated in pathways affected by PTSD. We aimed to: (1) identify epigenome-wide differences in methylation profiles between rape-exposed women with and without PTSD at 3-months post-rape, in a demographically and ethnically similar group, drawn from a low-income setting; (2) validate and replicate the findings of the epigenome-wide analysis in selected genes (BRSK2 and ADCYAP1); and (3) investigate baseline and longitudinal changes in BRSK2 and ADCYAP1 methylation over six months in relation to change in PTSD symptom scores over 6 months, in the combined discovery/validation and replication samples (n = 96). Rape-exposed women (n = 852) were recruited from rape clinics in the Rape Impact Cohort Evaluation (RICE) umbrella study. Epigenome-wide differentially methylated CpG sites between rape-exposed women with (n = 24) and without (n = 24) PTSD at 3-months post-rape were investigated using the Illumina EPIC BeadChip in a discovery cohort (n = 48). Validation (n = 47) and replication (n = 49) of BRSK2 and ADCYAP1 methylation findings were investigated using EpiTYPER technology. Longitudinal change in BRSK2 and ADCYAP1 was also investigated using EpiTYPER technology in the combined sample (n = 96). In the discovery sample, after adjustment for multiple comparisons, one differentially methylated CpG site (chr10: 61385771/ cg01700569, p = 0.049) and thirty-four differentially methylated regions were associated with PTSD status at 3-months post-rape. Decreased BRSK2 and ADCYAP1 methylation at 3-months and 6-months post-rape were associated with increased PTSD scores at the same time points, but these findings did not remain significant in adjusted models. In conclusion, decreased methylation of BRSK2 may result in abnormal neuronal polarization, synaptic development, vesicle formation, and disrupted neurotransmission in individuals with PTSD. PTSD symptoms may also be mediated by differential methylation of the ADCYAP1 gene which is involved in stress regulation. Replication of these findings is required to determine whether ADCYAP1 and BRSK2 are biomarkers of PTSD and potential therapeutic targets.© 2021. The Author(s)."
No,Methods,34718752,"EWAS Open Platform: integrated data, knowledge and toolkit for epigenome-wide association study.",Nucleic Acids Res,"Epigenome-Wide Association Study (EWAS) has become a standard strategy to discover DNA methylation variation of different phenotypes. Since 2018, we have developed EWAS Atlas and EWAS Data Hub to integrate a growing volume of EWAS knowledge and data, respectively. Here, we present EWAS Open Platform (https://ngdc.cncb.ac.cn/ewas) that includes EWAS Atlas, EWAS Data Hub and the newly developed EWAS Toolkit. In the current implementation, EWAS Open Platform integrates 617 018 high-quality EWAS associations from 910 publications, covering 51 phenotypes, 275 diseases and 104 environmental factors. It also provides well-normalized DNA methylation array data and the corresponding metadata from 115 852 samples, which involve 707 tissues, 218 cell lines and 528 diseases. Taking advantage of integrated knowledge and data in EWAS Atlas and EWAS Data Hub, EWAS Open Platform equips with EWAS Toolkit, a powerful one-stop site for EWAS enrichment, annotation, and knowledge network construction and visualization. Collectively, EWAS Open Platform provides open access to EWAS knowledge, data and toolkit and thus bears great utility for a broader range of relevant research.© The Author(s) 2021. Published by Oxford University Press on behalf of Nucleic Acids Research."
No,Methods,34765918,How many markers are needed to robustly determine a cell's type?,iScience,"Our understanding of cell types has advanced considerably with the publication of single-cell atlases. Marker genes play an essential role for experimental validation and computational analyses such as physiological characterization, annotation, and deconvolution. However, a framework for quantifying marker replicability and selecting replicable markers is currently lacking. Here, using high-quality data from the Brain Initiative Cell Census Network (BICCN), we systematically investigate marker replicability for 85 neuronal cell types. We show that, due to dataset-specific noise, we need to combine 5 datasets to obtain robust differentially expressed (DE) genes, particularly for rare populations and lowly expressed genes. We estimate that 10 to 200 meta-analytic markers provide optimal downstream performance and make available replicable marker lists for the 85 BICCN cell types. Replicable marker lists condense interpretable and generalizable information about cell types, opening avenues for downstream applications, including cell type annotation, selection of gene panels, and bulk data deconvolution.© 2021 The Authors."
No,Prediction,34791072,Genome-Scale Methylation Analysis of Circulating Cell-Free DNA in Gastric Cancer Patients.,Clin Chem,"Aberrant DNA hypermethylation of CpG islands (CGIs) occurs frequently and is genome-wide in human gastric cancer (GC). A DNA methylation approach in plasma cell-free DNA (cfDNA) is attractive for the noninvasive detection of GC. Here, we performed genome-scale cfDNA methylation analysis in patients with GC.We used MCTA-Seq, a genome-scale DNA methylation analysis method, on the plasma samples of patients with GC (n = 89) and control participants (n = 82), as well as 28 pairs of GC and adjacent noncancerous tissues. The capacity of the method for detecting GC and discriminating GC from colorectal cancer (CRC) and hepatocellular carcinoma (HCC) was assessed.We identified 153 cfDNA methylation biomarkers, including DOCK10, CABIN1, and KCNQ5, for detecting GC in blood. A panel of these biomarkers gave a sensitivity of 44%, 59%, 78%, and 100% for stage I, II, III, and IV tumors, respectively, at a specificity of 92%. CpG island methylation phenotype (CIMP) tumors and NON-CIMP tumors could be distinguished and detected effectively. We also identified several hundreds of cfDNA biomarkers differentially methylated between GC, CRC, and HCC, and showed that MCTA-Seq can discriminate early-stage GC, CRC, and HCC in blood by using a high specificity (approximately 100%) algorithm.Our comprehensive analyses provided valuable data on cfDNA methylation biomarkers of GC and showed the promise of cfDNA methylation for the blood-based noninvasive detection of GC.© American Association for Clinical Chemistry 2021."
No,Prediction,34789321,"Epigenetic modelling of former, current and never smokers.",Clin Epigenetics,"DNA methylation (DNAm) performs excellently in the discrimination of current and former smokers from never smokers, where AUCs > 0.9 are regularly reported using a single CpG site (cg05575921; AHRR). However, there is a paucity of DNAm models which attempt to distinguish current, former and never smokers as individual classes. Derivation of a robust DNAm model that accurately distinguishes between current, former and never smokers would be particularly valuable to epidemiological research (as a more accurate smoking definition vs. self-report) and could potentially translate to clinical settings. Therefore, we appraise 4 DNAm models of ternary smoking status (that is, current, former and never smokers): methylation at cg05575921 (AHRR model), weighted scores from 13 CpGs created by Maas et al. (Maas model), weighted scores from a LASSO model of candidate smoking CpGs from the literature (candidate CpG LASSO model), and weighted scores from a LASSO model supplied with genome-wide 450K data (agnostic LASSO model). Discrimination is assessed by AUC, whilst classification accuracy is assessed by accuracy and kappa, derived from confusion matrices.We find that DNAm can classify ternary smoking status with reasonable accuracy, including when applied to external data. Ternary classification using only DNAm far exceeds the classification accuracy of simply assigning all classes as the most prevalent class (63.7% vs. 36.4%). Further, we develop a DNAm classifier which performs well in discriminating current from former smokers (agnostic LASSO model AUC in external validation data: 0.744). Finally, across our DNAm models, we show evidence of enrichment for biological pathways and human phenotype ontologies relevant to smoking, such as haemostasis, molybdenum cofactor synthesis, body fatness and social behaviours, providing evidence of the generalisability of our classifiers.Our findings suggest that DNAm can classify ternary smoking status with close to 65% accuracy. Both the ternary smoking status classifiers and current versus former smoking status classifiers address the present lack of former smoker classification in epigenetic literature; essential if DNAm classifiers are to adequately relate to real-world populations. To improve performance further, additional focus on improving discrimination of current from former smokers is necessary.© 2021. The Author(s)."
No,Prediction,34780523,A 6-CpG validated methylation risk score model for metabolic syndrome: The HyperGEN and GOLDN studies.,PLoS One,"There has been great interest in genetic risk prediction using risk scores in recent years, however, the utility of scores developed in European populations and later applied to non-European populations has not been successful. The goal of this study was to create a methylation risk score (MRS) for metabolic syndrome (MetS), demonstrating the utility of MRS across race groups using cross-sectional data from the Hypertension Genetic Epidemiology Network (HyperGEN, N = 614 African Americans (AA)) and the Genetics of Lipid Lowering Drugs and Diet Network (GOLDN, N = 995 European Americans (EA)). To demonstrate this, we first selected cytosine-guanine dinucleotides (CpG) sites measured on Illumina Methyl450 arrays previously reported to be significantly associated with MetS and/or component conditions in more than one race/ethnic group (CPT1A cg00574958, PHOSPHO1 cg02650017, ABCG1 cg06500161, SREBF1 cg11024682, SOCS3 cg18181703, TXNIP cg19693031). Second, we calculated the parameter estimates for the 6 CpGs in the HyperGEN data (AA) and used the beta estimates as weights to construct a MRS in HyperGEN (AA), which was validated in GOLDN (EA). We performed association analyses using logistic mixed models to test the association between the MRS and MetS, adjusting for covariates. Results showed the MRS was significantly associated with MetS in both populations. In summary, a MRS for MetS was a strong predictor for the condition across two race groups, suggesting MRS may be useful to examine metabolic disease risk or related complications across race/ethnic groups."
