"pmid","title","source","abstract"
"35051273","The role of DNA methylation in genome-wide gene regulation during development.","Development","Although it is well known that DNA methylation serves to repress gene expression, precisely how it functions during the process of development remains unclear. Here, we propose that the overall pattern of DNA methylation established in the early embryo serves as a sophisticated mechanism for maintaining a genome-wide network of gene regulatory elements in an inaccessible chromatin structure throughout the body. As development progresses, programmed demethylation in each cell type then provides the specificity for maintaining select elements in an open structure. This allows these regulatory elements to interact with a large range of transcription factors and thereby regulate the gene expression profiles that define cell identity.© 2022. Published by The Company of Biologists Ltd."
"35050078","DNA Methylation Changes and Its Associated Genes in Mulberry (<i>Morus alba</i> L.) Yu-711 Response to Drought Stress Using MethylRAD Sequencing.","Plants (Basel)","Drought stress remains one of the most detrimental environmental cues affecting plant growth and survival. In this work, the DNA methylome changes in mulberry leaves under drought stress (EG) and control (CK) and their impact on gene regulation were investigated by MethylRAD sequencing. The results show 138,464 (37.37%) and 56,241 (28.81%) methylation at the CG and CWG sites (W = A or T), respectively, in the mulberry genome between drought stress and control. The distribution of the methylome was prevalent in the intergenic, exonic, intronic and downstream regions of the mulberry plant genome. In addition, we discovered 170 DMGs (129 in CG sites and 41 in CWG sites) and 581 DMS (413 in CG sites and 168 in CWG sites). Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis indicates that phenylpropanoid biosynthesis, spliceosome, amino acid biosynthesis, carbon metabolism, RNA transport, plant hormone, signal transduction pathways, and quorum sensing play a crucial role in mulberry response to drought stress. Furthermore, the qRT-PCR analysis indicates that the selected 23 genes enriched in the KEGG pathways are differentially expressed, and 86.96% of the genes share downregulated methylation and 13.04% share upregulation methylation status, indicating the complex link between DNA methylation and gene regulation. This study serves as fundamentals in discovering the epigenomic status and the pathways that will significantly enhance mulberry breeding for adaptation to a wide range of environments."
"35047830","An activating germline <i>IDH1</i> variant associated with a tumor entity characterized by unilateral and bilateral chondrosarcoma of the mastoid.","HGG Adv","Chondrogenic tumors involving the temporal bone are rare and typically arise spontaneously with unilateral presentation. SomaticIDHmutations are common in these tumors, but germline inheritance has not been documented to our knowledge. We describe familial chondrosarcoma, grade 1, of the mastoid with unilateral presentation in the mother and bilateral presentation in each of her two children. Each individual presented with headaches, facial paresis, and conductive hearing loss between the ages of 9-12. Exome sequencing of all three affected family members identified a shared germline heterozygous c.299G>A (p.Arg100Gln) missense variant inIDH1. The p.Arg100Gln variant has only rarely been observed as a somatic mutation in glial tumors, and previousin vitroexperiments have shown that p.Arg100Gln produces small amounts of the oncometabolite D-2-hydroxyglutarate (D2HG). Biochemical testing in all three affected family members on urine and plasma was unable to detect increases in D2HG in these sample types. Due to insufficient tumor for methylation studies, we performed genome-wide methylation analysis of anIDH1p.Arg100Gln mutant brain tumor from an unrelated individual to functionally evaluate this variant. These studies demonstrated a global hypermethylation phenotype consistent with other known isocitrate dehydrogenase (IDH) mutant brain tumors, suggesting that this variant has neomorphic activity despite low-level production of D2HG. The bones of the facial skeleton are formed by membranous ossification and we hypothesize that abnormal embryonic cartilage that rests within the suture lines may be involved in this tumor entity. Testing of additional individuals with similar presentations is needed to confirm this finding and clarify the associated phenotypes.© 2020."
"35047011","Using Machine Learning to Predict Obesity Based on Genome-Wide and Epigenome-Wide Gene-Gene and Gene-Diet Interactions.","Front Genet","Obesity is associated with many chronic diseases that impair healthy aging and is governed by genetic, epigenetic, and environmental factors and their complex interactions. This study aimed to develop a model that predicts an individual's risk of obesity by better characterizing these complex relations and interactions focusing on dietary factors. For this purpose, we conducted a combined genome-wide and epigenome-wide scan for body mass index (BMI) and up to three-way interactions among 402,793 single nucleotide polymorphisms (SNPs), 415,202 DNA methylation sites (DMSs), and 397 dietary and lifestyle factors using the generalized multifactor dimensionality reduction (GMDR) method. The training set consisted of 1,573 participants in exam 8 of the Framingham Offspring Study (FOS) cohort. After identifying genetic, epigenetic, and dietary factors that passed statistical significance, we applied machine learning (ML) algorithms to predict participants' obesity status in the test set, taken as a subset of independent samples (n = 394) from the same cohort. The quality and accuracy of prediction models were evaluated using the area under the receiver operating characteristic curve (ROC-AUC). GMDR identified 213 SNPs, 530 DMSs, and 49 dietary and lifestyle factors as significant predictors of obesity. Comparing several ML algorithms, we found that the stochastic gradient boosting model provided the best prediction accuracy for obesity with an overall accuracy of 70%, with ROC-AUC of 0.72 in test set samples. Top predictors of the best-fit model were 21 SNPs, 230 DMSs in genes such asCPT1A,ABCG1,SLC7A11,RNF145, andSREBF1, and 26 dietary factors, including processed meat, diet soda, French fries, high-fat dairy, artificial sweeteners, alcohol intake, and specific nutrients and food components, such as calcium and flavonols. In conclusion, we developed an integrated approach with ML to predict obesity using omics and dietary data. This extends our knowledge of the drivers of obesity, which can inform precision nutrition strategies for the prevention and treatment of obesity.Clinical Trial Registration:[www.ClinicalTrials.gov], the Framingham Heart Study (FHS), [NCT00005121].Copyright © 2022 Lee, Christensen, Parnell, Smith, Shao, McKeown, Ordovás and Lai."
"35046013","DNA methylation analysis of cord blood samples in neonates born to gestational diabetes mothers diagnosed before 24 gestational weeks.","BMJ Open Diabetes Res Care","Genome-wide methylation analyses of gestational diabetes mellitus (GDM) diagnosed after 24 gestational weeks (late GDM (L-GDM)) using cord blood have been reported. However, epigenetic changes in neonates born to mothers with GDM diagnosed before 24 gestational weeks (early GDM (E-GDM)) have not been reported. We investigated DNA methylation in neonates born to mothers with E-GDM using cord blood samples.Genome-wide DNA methylation analysis was performed using an Illumina EPIC array to compare methylation rates of 754 255 autosomal sites in cord blood samples from term neonates born to 162 mothers with GDM (E-GDM: n=84, L-GDM: n=78) and 60 normal glucose tolerance (normal OGTT) pregnancies. GDM was diagnosed based on Japan Society of Obstetrics and Gynecology criteria modified with International Association of Diabetes in Pregnancy Study Group criteria. In this study, all GDM mothers underwent dietary management, while self-monitoring of blood glucose and insulin administration was initiated when dietary modification did not achieve glycemic control.There were no significant differences in genome-wide DNA methylation of cord blood samples between the GDM (E-GDM and L-GDM) groups and normal OGTT group or between the E-GDM and normal OGTT groups, L-GDM and normal OGTT groups, and E-GDM and L-GDM groups.This is the first report to determine the DNA methylation patterns in neonates born to mothers with E-GDM. Neonates born to mothers with GDM, who were diagnosed based on Japan Society of Obstetrics and Gynecology criteria, may not differ in DNA methylation compared with those born to normal OGTT mothers.© Author(s) (or their employer(s)) 2022. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ."
"35045206","DNA methylation signatures in Blood DNA of Hutchinson-Gilford Progeria syndrome.","Aging Cell","Hutchinson-Gilford Progeria Syndrome (HGPS) is an extremely rare genetic disorder caused by mutations in the LMNA gene and characterized by premature and accelerated aging beginning in childhood. In this study, we performed the first genome-wide methylation analysis on blood DNA of 15 patients with progeroid laminopathies using Infinium Methylation EPIC arrays including 8 patients with classical HGPS. We could observe DNA methylation alterations at 61 CpG sites as well as 32 significant regions following a 5 Kb tiling analysis. Differentially methylated probes were enriched for phosphatidylinositol biosynthetic process, phospholipid biosynthetic process, sarcoplasm, sarcoplasmic reticulum, phosphatase regulator activity, glycerolipid biosynthetic process, glycerophospholipid biosynthetic process, and phosphatidylinositol metabolic process. Differential methylation analysis at the level of promoters and CpG islands revealed no significant methylation changes in blood DNA of progeroid laminopathy patients. Nevertheless, we could observe significant methylation differences in classic HGPS when specifically looking at probes overlapping solo-WCGW partially methylated domains. Comparing aberrantly methylated sites in progeroid laminopathies, classic Werner syndrome, and Down syndrome revealed a common significantly hypermethylated region in close vicinity to the transcription start site of a long non-coding RNA located anti-sense to the Catenin Beta Interacting Protein 1 gene (CTNNBIP1). By characterizing epigenetically altered sites, we identify possible pathways/mechanisms that might have a role in the accelerated aging of progeroid laminopathies.© 2022 The Authors. Aging Cell published by the Anatomical Society and John Wiley & Sons Ltd."
"35045165","Polycomb Proteins Control Floral Determinacy by H3K27me3-mediated Repression of Pluripotency Genes in Arabidopsis thaliana.","J Exp Bot","Polycomb group (PcG) protein-mediated histone methylation (H3K27me3) controls the correct spatiotemporal expression of numerous developmental regulators in Arabidopsis. Epigenetic silencing of the stem cell factor WUS in floral meristems (FMs) depends on H3K27me3 deposition by PcG proteins. However, the role of H3K27me3 in silencing of other meristematic regulator and pluripotency genes during FM determinacy has not yet been studied. To this end, we report the genome-wide dynamics of H3K27me3 levels during FM arrest and the consequences of strongly depleted PcG activity on early flower morphogenesis including enlarged and indeterminate FMs. Strong depletion of H3K27me3 levels results in misexpression of the FM identity gene AGL24, which partially leads to floral reversion causing ap1-like flowers and indeterminate FMs expressing ectopically WUS and STM. Loss of STM can rescue supernumerary floral organs and FM indeterminacy in H3K27me3-deficient flowers indicating that the hyperactivity of the FMs is at least partially a result of ectopic STM expression. Nonetheless, WUS remained essential for the FM activity. Our results demonstrate that PcG proteins promote FM determinacy at multi-levels of the floral gene regulatory network, silencing initially floral regulators like AGL24 that promotes FM indeterminacy, and subsequently, meristematic pluripotency genes such as WUS and STM during FM arrest.© The Author(s) 2022. Published by Oxford University Press on behalf of the Society for Experimental Biology. All rights reserved. For permissions, please email: journals.permissions@oup.com."
"35043535","The utility of DNA methylation signatures in directing genome sequencing workflow: Kabuki syndrome and CDK13-related disorder.","Am J Med Genet A","Kabuki syndrome (KS) is a neurodevelopmental disorder characterized by hypotonia, intellectual disability, skeletal anomalies, and postnatal growth restriction. The characteristic facial appearance is not pathognomonic for KS as several other conditions demonstrate overlapping features. For 20-30% of children with a clinical diagnosis of KS, no causal variant is identified by conventional genetic testing of the two associated genes, KMT2D and KDM6A. Here, we describe two cases of suspected KS that met clinical diagnostic criteria and had a high gestalt match on the artificial intelligence platform Face2Gene. Although initial KS testing was negative, genome-wide DNA methylation (DNAm) was instrumental in guiding genome sequencing workflow to establish definitive molecular diagnoses. In one case, a positive DNAm signature for KMT2D led to the identification of a cryptic variant in KDM6A by genome sequencing; for the other case, a DNAm signature different from KS led to the detection of another diagnosis in the KS differential, CDK13-related disorder. This approach illustrates the clinical utility of DNAm signatures in the diagnostic workflow for the genome analyst or clinical geneticist-especially for disorders with overlapping clinical phenotypes.© 2022 The Authors. American Journal of Medical Genetics Part A published by Wiley Periodicals LLC."
"35042054","Genome-wide lone strand adenine methylation in Deinococcus radiodurans R1: Regulation of gene expression through DR0643-dependent adenine methylation.","Microbiol Res","DNA methylation is a covalent modification of adenine or cytosine in the genome of an organism and is found in diverse microbes including the radiation resistant bacterium Deinococcus radiodurans R1. Although earlier findings have confirmed repression or de-repression of certain genes in adenine methyltransferase (DR_0643/Dam1DR) deficient D. radiodurans mutant however, the overall regulatory aspects of Dam1DR-mediated adenine methylation remain mostly unexplored. In the present study, we compared the genome-wide methylome and the corresponding transcriptome of D. radiodurans WT and Δdam1 mutant to explore the correlation between methylation and gene expression. In D. radiodurans, deletion of DR_0643 ORF (Δdam1) led to hypomethylation of 512 genes resulting in differential expression of 168 genes (99 genes are upregulated and 69 genes are downregulated). The modification patterns deduced for Dam1DR(DR_0643) and Dam2DR(DR_2267) were non-palindromic and atypical. Moreover, we observed methylation at opportunistic sites that show adenine methylation only in D. radiodurans Δdam1 and not in D. radiodurans WT. Correlation between the methylome and transcriptome suggests that hypomethylation at Dam1DRspecific sites had both negative as well as a positive effects on gene expression. Pathways such as amino acid metabolism, transport, oxidative phosphorylation, quorum sensing, signal transduction, two-component system, glycolysis/gluconeogenesis, TCA cycle, glyoxylate and dicarboxylate metabolism were modulated by Dam1DR-mediated adenine methylation in D. radiodurans. Processes such as DNA repair, recombination, ATPase and transmembrane transporter activity were enriched when Dam1DRmutant was subjected to radiation stress. We further evaluated the molecular interactions and mode of binding between Dam1DRprotein and S-adenosyl methionine using molecular docking followed by MD simulation. To get a better insight into the methylation mechanism, the Dam1DR-SAM complex was also docked with a DNA molecule to elucidate DNA-Dam1DRstructural interaction during methyl-group transfer reaction. In summary, our work presents comprehensive and integrative approaches to investigate both functional and structural aspects of DNA adenine methyltransferase (Dam1DR) in D. radiodurans biology.Copyright © 2022 Elsevier GmbH. All rights reserved."
"35041105","Genome-Wide Differential DNA Methylomes Provide Insights into the Infertility of Triploid Oysters.","Mar Biotechnol (NY)","Chromosomal incompatibility and gene expression changes would affect the development of polyploid gonad and gamete formation. The role of epigenetics like DNA methylation in reproductive development is fully demonstrated in diploid animals. The lack of polyploid species and the infertility of polyploid animals, especially the odd ploidy, limit the study of epigenetic regulation mechanism of polyploid reproduction. Fertile and infertile individuals exist in triploid Pacific oyster Crassostrea gigas, which provide an interesting model for studies on the effect of epigenetic regulation on gonadal development. The whole genome single base resolution DNA methylomes in gonads of triploid females α (F-3nα), triploid females β (F-3nβ), triploid males α (M-3nα), triploid hermaphrodite predominantly males (HPM-3n), diploid females (F-2n), and diploid males (M-2n) were generated by using bisulfite-sequencing. The overall DNA methylation profiles in gene regions and transposable regions of fertile and infertile triploid oysters were consistent with those of diploid oysters. The DNA methylation level of CG context decreased in infertile triploid oysters, with more hypomethylated than hypermethylated regions, and the opposite is true in fertile triploid oysters. Genes harbored with differentially methylated regions (DMRs) in infertile triploids were mainly related to the metabolism pathways and the signal pathways. Correlation analysis indicated that the expression of gene transcriptions was generally positively associated with DNA methylation in gene body regions, and DMRs in infertile triploid oysters played significant roles in gonadal development as a possible critical epigenetic regulator of gonadal development gene transcriptional activity. These findings indicate a potential relationship between DNA methylation variability and gene expression plasticity in newly formed polyploidy. As far as we know, this is the first study revealing the epigenetic regulation of gonadal development in invertebrates based on fertile and infertile models, meanwhile providing a new mentality to explore the regulatory mechanisms of infertility in triploids.© 2021. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
