pmid,title,source,abstract
35145228,Meta-analysis of epigenome-wide associations between DNA methylation at birth and childhood cognitive skills.,Mol Psychiatry,"Cognitive skills are a strong predictor of a wide range of later life outcomes. Genetic and epigenetic associations across the genome explain some of the variation in general cognitive abilities in the general population and it is plausible that epigenetic associations might arise from prenatal environmental exposures and/or genetic variation early in life. We investigated the association between cord blood DNA methylation at birth and cognitive skills assessed in children from eight pregnancy cohorts within the Pregnancy And Childhood Epigenetics (PACE) Consortium across overall (total N = 2196), verbal (total N = 2206) and non-verbal cognitive scores (total N = 3300). The associations at single CpG sites were weak for all of the cognitive domains investigated. One region near DUSP22 on chromosome 6 was associated with non-verbal cognition in a model adjusted for maternal IQ. We conclude that there is little evidence to support the idea that variation in cord blood DNA methylation at single CpG sites is associated with cognitive skills and further studies are needed to confirm the association at DUSP22.© 2022. The Author(s)."
35139887,Aberrant epigenetic and transcriptional events associated with breast cancer risk.,Clin Epigenetics,"Genome-wide association studies have identified several breast cancer susceptibility loci. However, biomarkers for risk assessment are still missing. Here, we investigated cancer-related molecular changes detected in tissues from women at high risk for breast cancer prior to disease manifestation. Disease-free breast tissue cores donated by healthy women (N = 146, median age = 39 years) were processed for both methylome (MethylCap) and transcriptome (Illumina's HiSeq4000) sequencing. Analysis of tissue microarray and primary breast epithelial cells was used to confirm gene expression dysregulation.Transcriptomic analysis identified 69 differentially expressed genes between women at high and those at average risk of breast cancer (Tyrer-Cuzick model) at FDR < 0.05 and fold change ≥ 2. Majority of the identified genes were involved in DNA damage checkpoint, cell cycle, and cell adhesion. Two genes, FAM83A and NEK2, were overexpressed in tissue sections (FDR < 0.01) and primary epithelial cells (p < 0.05) from high-risk breasts. Moreover, 1698 DNA methylation changes were identified in high-risk breast tissues (FDR < 0.05), partially overlapped with cancer-related signatures, and correlated with transcriptional changes (p < 0.05, r ≤ 0.5). Finally, among the participants, 35 women donated breast biopsies at two time points, and age-related molecular alterations enhanced in high-risk subjects were identified.Normal breast tissue from women at high risk of breast cancer bears molecular aberrations that may contribute to breast cancer susceptibility. This study is the first molecular characterization of the true normal breast tissues, and provides an opportunity to investigate molecular markers of breast cancer risk, which may lead to new preventive approaches.© 2022. The Author(s)."
35123963,Associations between plasma levels of brominated flame retardants and methylation of DNA from peripheral blood: A cross-sectional study in a cohort of French women.,Environ Res,"Brominated flame retardants (BFRs) are organic compounds that are widespread in the environment. Because of their persistence, they are able to bioaccumulate with major impacts on human health. It has been hypothesized that the effect of BFRs on human health is mediated by alterations of DNA methylation.The aim of this study was to examine the association between methylation of DNA extracted from peripheral blood and circulating levels of BFRs measured in plasma.We conducted a methylation wide association study on 336 blood samples from a study within the E3N (Etude Epidémiologique auprès de femmes de l'Education Nationale) cohort, a long-term longitudinal cohort of French women. DNA methylation at more than 850 000 cytosine-guanine dinucleotide (CpG) sites was measured with the Illumina Infinium HumanMethylation - EPIC BeadChip. Circulating levels of seven BFRs (BDE-28, BDE-47, BDE-99, BDE-100, BDE-153, BDE-154 and PBB-153) were measured by gas chromatography coupled to high-resolution mass spectrometry in plasma samples. The association between DNA methylation and BFRs plasma levels was assessed through linear mixed-effects models followed by gene-set enrichment analyses (GSEA).We identified 253 CpG sites whose methylation levels were significantly associated with exposure to BFRs after Bonferroni correction. For 50 of these CpGs the p-values were less than 2.2x10-9with the strongest association being between BDE-154 and cg23619365 (4.32x10-13). GSEA of CpG sites associated with exposure to BFRs identified significant enrichment of genes involved in hypoxia, glycolysis and adipogenesis.Exposure to BFRs appears to be related to numerous alterations in DNA methylation. These findings, if replicated in independent studies, provide insights into the biological and health effects of BFRs.Copyright © 2022. Published by Elsevier Inc."
35120273,Age-related DNA methylation on Y chromosome and their associations with total mortality among Chinese males.,Aging Cell,"In view of the sex differences in aging-related diseases, sex chromosomes may play a critical role during aging process. This study aimed to identify age-related DNA methylation changes on Y chromosome (ChrY). A two-stage study design was conducted in this study. The discovery stage contained 419 Chinese males, including 205 from the Wuhan-Zhuhai cohort panel, 107 from the coke oven workers panel, and 107 from the Shiyan panel. The validation stage contained 587 Chinese males from the Dongfeng-Tongji sub-cohort. We used the Illumina HumanMethylation BeadChip to determine genome-wide DNA methylation in peripheral blood of the study participants. The associations between age and methylation levels of ChrY CpGs were investigated by using linear regression models with adjustment for potential confounders. Further, associations of age-related ChrY CpGs with all-cause mortality were tested in the validation stage. We identified the significant associations of 41 ChrY CpGs with age at false discovery rate (FDR) <0.05 in the discovery stage, and 18 of them were validated in the validation stage (p < 0.05). Meta-analysis of both stages confirmed the robust positive associations of 14 CpGs and negative associations of 4 CpGs with age (FDR<0.05). Among them, cg03441493 and cg17816615 were significantly associated with all-cause mortality risk [HR(95% CI) = 1.37 (1.04, 1.79) and 0.70 (0.54, 0.93), respectively]. Our results highlighted the importance of ChrY CpGs on male aging.© 2022 The Authors. Aging Cell published by Anatomical Society and John Wiley & Sons Ltd."
35119793,DNA methylation in blood cells is associated with cortisol levels in offspring of mothers who had prenatal post-traumatic stress disorder.,Stress Health,"Maternal stress during pregnancy is associated with differential DNA methylation in offspring and disrupted cortisol secretion. This study aimed to determine methylation signatures of cortisol levels in children, and whether associations differ based on maternal post-traumatic stress disorder (PTSD). Blood epigenome-wide methylation and fasting cortisol levels were measured in 118 offspring of mothers recruited from the Kosovo Rehabilitation Centre for Torture Victims. Mothers underwent clinically administered assessment for PTSD using Diagnostic and Statistical Manual of Mental Disorders. Correlations between offspring methylation and cortisol levels were examined using epigenome-wide analysis, adjusting for covariates. Subsequent analysis focussed on a priori selected genes involved in the hypothalamic-pituitary-adrenal (HPA) axis stress signalling. Methylation at four sites were correlated with cortisol levels (cg15321696, r = -0.33, cg18105800, r = +0.33, cg00986889, r = -0.25, and cg15920527, r = -0.27). In adjusted multivariable regression, when stratifying based on prenatal PTSD status, significant associations were only found for children born to mothers with prenatal PTSD (p < 0.001). Several sites within HPA axis genes were also associated with cortisol levels in the maternal PTSD group specifically. There is evidence that methylation is associated with cortisol levels, particularly in offspring born to mothers with prenatal PTSD. However, larger studies need to be carried out to independently validate these findings.© 2022 The Authors. Stress and Health published by John Wiley & Sons Ltd."
35119365,Physiological TLR4 regulation in human fetal membranes as an explicative mechanism of a pathological preterm case.,Elife,"The integrity of human fetal membranes is crucial for harmonious fetal development throughout pregnancy. Their premature rupture is often the consequence of a physiological phenomenon that has been exacerbated. Beyond all the implied biological processes, inflammation is of primary importance and is qualified as 'sterile' at the end of pregnancy. In this study, complementary methylomic and transcriptomic strategies on amnion and choriodecidua explants obtained from the altered (cervix zone) and intact fetal membranes at term and before labour were used. By cross-analysing genome-wide studies strengthened by in vitro experiments, we deciphered how the expression of toll-like receptor 4 (TLR4), an actor in pathological fetal membrane rupture, is controlled. Indeed, it is differentially regulated in the altered zone and between both layers by a dual mechanism: (1) the methylation of TLR4 and miRNA promoters and (2) targeting by miRNA (let-7a-2 and miR-125b-1) acting on the 3'-UTR of TLR4. Consequently, this study demonstrates that fine regulation of TLR4 is required for sterile inflammation establishment at the end of pregnancy and that it may be dysregulated in the pathological premature rupture of membranes.© 2022, Belville et al."
35109748,Blood DNA methylation signatures are associated with social determinants of health among survivors of childhood cancer.,Epigenetics,"Social epigenomics is an emerging field in which social scientist collaborate with computational biologists, especially epigeneticists, to address the underlying pathway for biological embedding of life experiences. This social epigenomics study included long-term childhood cancer survivors enrolled in the St. Jude Lifetime Cohort. DNA methylation (DNAm) data were generated using the Illumina EPIC BeadChip, and three social determinants of health (SDOH) factors were assessed: self-reported educational attainment, personal income, and an area deprivation index based on census track data. An epigenome-wide association study (EWAS) was performed to evaluate the relation between DNAm at each 5'-cytosine-phosphate-guanine-3' (CpG) site and each SDOH factor based on multivariable linear regression models stratified by ancestry (European ancestry, n = 1,618; African ancestry, n = 258). EWAS among survivors of European ancestry identified 130 epigenome-wide significant SDOH-CpG associations (P< 9 × 10-8), 25 of which were validated in survivors of African ancestry (P< 0.05). Thirteen CpGs were associated with all three SDOH factors and resided at pleiotropic loci in cigarette smoking-related genes (e.g.,CLDND1andCPOX). After accounting for smoking and body mass index, these associations remained significant with attenuated effect sizes. Seven of 13 CpGs were associated with gene expression level based on 57 subsamples with blood RNA sequencing data available. In conclusion, DNAm signatures, many resembling the effect of tobacco use, were associated with SDOH factors among survivors of childhood cancer, thereby suggesting that biologically distal SDOH factors influence health behaviours or related factors, the epigenome, and subsequently survivors' health."
35104326,Maternal Glycemic Dysregulation During Pregnancy and Neonatal Blood DNA Methylation: Meta-analyses of Epigenome-Wide Association Studies.,Diabetes Care,"Maternal glycemic dysregulation during pregnancy increases the risk of adverse health outcomes in her offspring, a risk thought to be linearly related to maternal hyperglycemia. It is hypothesized that changes in offspring DNA methylation (DNAm) underline these associations.To address this hypothesis, we conducted fixed-effects meta-analyses of epigenome-wide association study (EWAS) results from eight birth cohorts investigating relationships between cord blood DNAm and fetal exposure to maternal glucose (Nmaximum = 3,503), insulin (Nmaximum = 2,062), and area under the curve of glucose (AUCgluc) following oral glucose tolerance tests (Nmaximum = 1,505). We performed lookup analyses for identified cytosine-guanine dinucleotides (CpGs) in independent observational cohorts to examine associations between DNAm and cardiometabolic traits as well as tissue-specific gene expression.Greater maternal AUCgluc was associated with lower cord blood DNAm at neighboring CpGs cg26974062 (β [SE] = 0.013 [2.1 × 10-3], P value corrected for false discovery rate [PFDR] = 5.1 × 10-3) and cg02988288 (β [SE]-0.013 [2.3 × 10-3], PFDR = 0.031) in TXNIP. These associations were attenuated in women with GDM. Lower blood DNAm at these two CpGs near TXNIP was associated with multiple metabolic traits later in life, including type 2 diabetes. TXNIP DNAm in liver biopsies was associated with hepatic expression of TXNIP. We observed little evidence of associations between either maternal glucose or insulin and cord blood DNAm.Maternal hyperglycemia, as reflected by AUCgluc, was associated with lower cord blood DNAm at TXNIP. Associations between DNAm at these CpGs and metabolic traits in subsequent lookup analyses suggest that these may be candidate loci to investigate in future causal and mediation analyses.© 2022 by the American Diabetes Association."
35102554,"Alcohol consumption, DNA methylation and colorectal cancer risk: Results from pooled cohort studies and Mendelian randomization analysis.",Int J Cancer,"Alcohol consumption is thought to be one of the modifiable risk factors for colorectal cancer (CRC). However, the causality and mechanisms by which alcohol exerts its carcinogenic effect are unclear. We evaluated the association between alcohol consumption and CRC risk by analyzing data from 32 cohort studies and conducted two-sample Mendelian randomization (MR) analysis to examine for casual relationship. To explore the effect of alcohol related DNA methylation on CRC risk, we performed an epigenetic MR analysis with data from an epigenome-wide association study (EWAS). We additionally performed gene-alcohol interaction analysis nested in the UK Biobank to assess effect modification between alcohol consumption and susceptibility genes. We discovered distinct effects of alcohol on CRC incidence and mortality from the meta-analyses, and genetic predisposition to alcohol drinking was causally associated with an increased CRC risk (OR = 1.79, 95% CI: 1.23-2.61) using two-sample MR approaches. In epigenetic MR analysis, two alcohol-related CpG sites (cg05593667 and cg10045354 mapped to COLCA1/COLCA2 gene) were identified causally associated with an increased CRC risk (P < 8.20 × 10-4). Gene-alcohol interaction analysis revealed that carriage of the risk allele of the eQTL (rs3087967) and mQTL (rs11213823) polymorphism of COLCA1/COLCA2 would interact with alcohol consumption to increase CRC risk (PInteraction = .027 and PInteraction = .016). Our study provides comprehensive evidence to elucidate the role of alcohol in CRC and highlights that the pathogenic effect of alcohol on CRC could be partly attributed to DNA methylation by regulating the expression of COLCA1/COLCA2 gene.© 2022 The Authors. International Journal of Cancer published by John Wiley & Sons Ltd on behalf of UICC."
35087571,Promoter DNA Methylation in GWAS-Identified Genes as Potential Functional Elements for Blood Pressure: An Observational and Mendelian Randomization Study.,Front Genet,"Genome-wide association studies have identified numerous genetic loci for blood pressure (BP). However, the relationships of functional elements inside these loci with BP are not fully understood. This study represented an effort to determine if promoter DNA methylations inside BP-associated loci were associated with BP.We conducted a cross-sectional study investigating the association between promoter DNA methylations of 10 candidate genes and BP in 1,241 Chinese individuals. Twenty-one genomic fragments in the CpG Islands were sequenced. The associations of methylation levels with BP and hypertension were assessed in regression models. Mendelian randomization (MR) analysis was then applied to find supporting evidence for the identified associations.A total of 413 DNA methylation sites were examined in an observational study. Methylation levels of 24 sites inPRDM6,IGFBP3,SYT7,PDE3A,TBX2andC17orf82were significantly associated with BP. Methylation levels ofPRDM6andSYT7were significantly associated with hypertension. Methylation levels of five sites (including cg06713098) inIGFBP3were significantly associated with DBP. MR analysis found associations between the methylation levels of six CpG sites (cg06713098, cg14228300, cg23193639, cg21268650, cg10677697 and cg04812164) around theIGFBP3promoter and DBP. Methylation levels of cg14228300 and cg04812164 were associated with SBP. By further applying several MR methods we showed that the associations may not be due to pleiotropy. Association betweenIGFBP3mRNA levels in blood cells and BP was also found in MR analysis. This study identified promoter methylation as potential functional element for BP. The identified methylations may be involved in the regulatory pathway linking genetic variants to BP.Copyright © 2022 Zhang, Wang, Xu, Mo and Zhang."
