pmid,title,source,abstract
33956822,Comparative analysis reveals distinctive epigenetic features of the human cerebellum.,PLoS Genet,"Identifying the molecular underpinnings of the neural specializations that underlie human cognitive and behavioral traits has long been of considerable interest. Much research on human-specific changes in gene expression and epigenetic marks has focused on the prefrontal cortex, a brain structure distinguished by its role in executive functions. The cerebellum shows expansion in great apes and is gaining increasing attention for its role in motor skills and cognitive processing, including language. However, relatively few molecular studies of the cerebellum in a comparative evolutionary context have been conducted. Here, we identify human-specific methylation in the lateral cerebellum relative to the dorsolateral prefrontal cortex, in a comparative study with chimpanzees (Pan troglodytes) and rhesus macaques (Macaca mulatta). Specifically, we profiled genome-wide methylation levels in the three species for each of the two brain structures and identified human-specific differentially methylated genomic regions unique to each structure. We further identified which differentially methylated regions (DMRs) overlap likely regulatory elements and determined whether associated genes show corresponding species differences in gene expression. We found greater human-specific methylation in the cerebellum than the dorsolateral prefrontal cortex, with differentially methylated regions overlapping genes involved in several conditions or processes relevant to human neurobiology, including synaptic plasticity, lipid metabolism, neuroinflammation and neurodegeneration, and neurodevelopment, including developmental disorders. Moreover, our results show some overlap with those of previous studies focused on the neocortex, indicating that such results may be common to multiple brain structures. These findings further our understanding of the cerebellum in human brain evolution."
33940396,Blood lead levels in Peruvian adults are associated with proximity to mining and DNA methylation.,Environ Int,"Inorganic lead (Pb) is common in the environment, and is toxic to neurological, renal, and cardiovascular systems. Pb exposure influences the epigenome with documented effects on DNA methylation (DNAm). We assessed the impact of low levels of Pb exposure on DNAm among non-miner individuals from two locations in Peru: Lima, the capital, and Cerro de Pasco, a highland mining town, to study the effects of Pb exposure on physiological outcomes and DNAm.Pb levels were measured in whole blood (n = 305). Blood leukocyte DNAm was determined for 90 DNA samples using the Illumina MethylationEPIC chip. An epigenome-wide association study was performed to assess the relationship between Pb and DNAm.Individuals from Cerro de Pasco had higher Pb than individuals from Lima (p-value = 2.00E-16). Males had higher Pb than females (p-value = 2.36E-04). Pb was positively associated with hemoglobin (p-value = 8.60E-04). In Cerro de Pasco, blood Pb decreased with the distance from the mine (p-value = 0.04), and association with soil Pb was approaching significance (p-value = 0.08). We identified differentially methylated positions (DMPs) associated with genes SOX18, ZMIZ1, and KDM1A linked to neurological function. We also found 45 differentially methylated regions (DMRs), seven of which were associated with genes involved in metal ion binding and nine to neurological function and development.Our results demonstrate that even low levels of Pb can have a significant impact on the body including changes to DNAm. We report associations between Pb and hemoglobin, Pb and distance from mining, and between blood and soil Pb. We also report associations between loci- and region-specific DNAm and Pb.Copyright © 2021. Published by Elsevier Ltd."
33939316,DNA methylome analysis identifies BMI-related epigenetic changes associated with non-small cell lung cancer susceptibility.,Cancer Med,"Body mass index (BMI) has been reported to be inversely associated with incident risk of non-small cell lung cancer (NSCLC). However, the underlying mechanism is still unclear. This study aimed to investigate the role of DNA methylation in the relationship between BMI and NSCLC.We carried out a genome-wide DNA methylation study of BMI in peripheral blood among 2266 Chinese participants by using Illumina Methylation arrays. For the BMI-related DNA methylation changes, their associations with NSCLC risk were further analyzed and their mediation effects on BMI-NSCLC association were also evaluated.The methylation levels of four CpGs (cg12593793, cg17061862, cg11024682, and cg06500161, annotated to LMNA, ZNF143, SREBF1, and ABCG1, respectively) were found to be significantly associated with BMI. Methylation levels of cg12593793, cg11024682, and cg06500161 were observed to be inversely associated with NSCLC risk [OR (95%CI) =0.22 (0.16, 0.31), 0.39 (0.30, 0.50), and 0.66 (0.53, 0.82), respectively]. Additionally, cg11024682 in SREBF1 and cg06500161 in ABCG1 mediated 45.3% and 19.5% of the association between BMI and decreased NSCLC risk, respectively.In this study, we identified four DNA methylation sites associated with BMI in the Chinese populations at the genome-wide significant level. We also found that the BMI-related methylations of SREBF1 and ABCG1 could mediate about a quintile-to-half of the effect of BMI on reduced NSCLC risk, which adds a potential mechanism underlying this association.© 2021 The Authors. Cancer Medicine published by John Wiley & Sons Ltd."
33935932,An Epigenetically Distinct Subset of Children With Autism Spectrum Disorder Resulting From Differences in Blood Cell Composition.,Front Neurol,"Background:Autism spectrum disorder (ASD) is a complex neurodevelopmental disorder that often involves impaired cognition, communication difficulties and restrictive, repetitive behaviors. ASD is extremely heterogeneous both clinically and etiologically, which represents one of the greatest challenges in studying the molecular underpinnings of ASD. While hundreds of ASD-associated genes have been identified that confer varying degrees of risk, no single gene variant accounts for >1% of ASD cases. Notably, a large number of ASD-risk genes function as epigenetic regulators, indicating potential epigenetic dysregulation in ASD. As such, we compared genome-wide DNA methylation (DNAm) in the blood of children with ASD (n= 265) to samples from age- and sex-matched, neurotypical controls (n= 122) using the Illumina Infinium HumanMethylation450 arrays.Results:While DNAm patterns did not distinctly separate ASD cases from controls, our analysis identified an epigenetically unique subset of ASD cases (n= 32); these individuals exhibited significant differential methylation from both controls than the remaining ASD cases. The CpG sites at which this subset was differentially methylated mapped to known ASD risk genes that encode proteins of the nervous and immune systems. Moreover, the observed DNAm differences were attributable to altered blood cell composition, i.e., lower granulocyte proportion and granulocyte-to-lymphocyte ratio in the ASD subset, as compared to the remaining ASD cases and controls. This ASD subset did not differ from the rest of the ASD cases in the frequency or type of high-risk genomic variants.Conclusion:Within our ASD cohort, we identified a subset of individuals that exhibit differential methylation from both controls and the remaining ASD group tightly associated with shifts in immune cell type proportions. This is an important feature that should be assessed in all epigenetic studies of blood cells in ASD. This finding also builds on past reports of changes in the immune systems of children with ASD, supporting the potential role of altered immunological mechanisms in the complex pathophysiology of ASD. The discovery of significant molecular and immunological features in subgroups of individuals with ASD may allow clinicians to better stratify patients, facilitating personalized interventions and improved outcomes.Copyright © 2021 Jangjoo, Goodman, Choufani, Trost, Scherer, Kelley, Ayub, Nicolson, Georgiades, Crosbie, Schachar, Anagnostou, Grunebaum and Weksberg."
33931130,Genetic impacts on DNA methylation: research findings and future perspectives.,Genome Biol,"Multiple recent studies highlight that genetic variants can have strong impacts on a significant proportion of the human DNA methylome. Methylation quantitative trait loci, or meQTLs, allow for the exploration of biological mechanisms that underlie complex human phenotypes, with potential insights for human disease onset and progression. In this review, we summarize recent milestones in characterizing the human genetic basis of DNA methylation variation over the last decade, including heritability findings and genome-wide identification of meQTLs. We also discuss challenges in this field and future areas of research geared to generate insights into molecular processes underlying human complex traits."
33931109,Epigenome-wide association study of kidney function identifies trans-ethnic and ethnic-specific loci.,Genome Med,"DNA methylation (DNAm) is associated with gene regulation and estimated glomerular filtration rate (eGFR), a measure of kidney function. Decreased eGFR is more common among US Hispanics and African Americans. The causes for this are poorly understood. We aimed to identify trans-ethnic and ethnic-specific differentially methylated positions (DMPs) associated with eGFR using an agnostic, genome-wide approach.The study included up to 5428 participants from multi-ethnic studies for discovery and 8109 participants for replication. We tested the associations between whole blood DNAm and eGFR using beta values from Illumina 450K or EPIC arrays. Ethnicity-stratified analyses were performed using linear mixed models adjusting for age, sex, smoking, and study-specific and technical variables. Summary results were meta-analyzed within and across ethnicities. Findings were assessed using integrative epigenomics methods and pathway analyses.We identified 93 DMPs associated with eGFR at an FDR of 0.05 and replicated 13 and 1 DMPs across independent samples in trans-ethnic and African American meta-analyses, respectively. The study also validated 6 previously published DMPs. Identified DMPs showed significant overlap enrichment with DNase I hypersensitive sites in kidney tissue, sites associated with the expression of proximal genes, and transcription factor motifs and pathways associated with kidney tissue and kidney development.We uncovered trans-ethnic and ethnic-specific DMPs associated with eGFR, including DMPs enriched in regulatory elements in kidney tissue and pathways related to kidney development. These findings shed light on epigenetic mechanisms associated with kidney function, bridging the gap between population-specific eGFR-associated DNAm and tissue-specific regulatory context."
33926513,Estimands in epigenome-wide association studies.,Clin Epigenetics,"In DNA methylation analyses like epigenome-wide association studies, effects in differentially methylated CpG sites are assessed. Two kinds of outcomes can be used for statistical analysis: Beta-values and M-values. M-values follow a normal distribution and help to detect differentially methylated CpG sites. As biological effect measures, differences of M-values are more or less meaningless. Beta-values are of more interest since they can be interpreted directly as differences in percentage of DNA methylation at a given CpG site, but they have poor statistical properties. Different frameworks are proposed for reporting estimands in DNA methylation analysis, relying on Beta-values, M-values, or both.We present and discuss four possible approaches of achieving estimands in DNA methylation analysis. In addition, we present the usage of M-values or Beta-values in the context of bioinformatical pipelines, which often demand a predefined outcome. We show the dependencies between the differences in M-values to differences in Beta-values in two data simulations: a analysis with and without confounder effect. Without present confounder effects, M-values can be used for the statistical analysis and Beta-values statistics for the reporting. If confounder effects exist, we demonstrate the deviations and correct the effects by the intercept method. Finally, we demonstrate the theoretical problem on two large human genome-wide DNA methylation datasets to verify the results.The usage of M-values in the analysis of DNA methylation data will produce effect estimates, which cannot be biologically interpreted. The parallel usage of Beta-value statistics ignores possible confounder effects and can therefore not be recommended. Hence, if the differences in Beta-values are the focus of the study, the intercept method is recommendable. Hyper- or hypomethylated CpG sites must then be carefully evaluated. If an exploratory analysis of possible CpG sites is the aim of the study, M-values can be used for inference."
33902726,Sex-specific DNA methylation differences in Alzheimer's disease pathology.,Acta Neuropathol Commun,"Sex is an important factor that contributes to the clinical and biological heterogeneities in Alzheimer's disease (AD), but the regulatory mechanisms underlying sex disparity in AD are still not well understood. DNA methylation is an important epigenetic modification that regulates gene transcription and is known to be involved in AD. We performed the first large-scale sex-specific meta-analysis of DNA methylation differences in AD neuropathology, by re-analyzing four recent epigenome-wide association studies totaling more than 1000 postmortem prefrontal cortex brain samples using a uniform analytical pipeline. For each cohort, we employed two complementary analytical strategies, a sex-stratified analysis that examined methylation-Braak stage associations in male and female samples separately, and a sex-by-Braak stage interaction analysis that compared the magnitude of these associations between different sexes. Our analysis uncovered 14 novel CpGs, mapped to genes such as TMEM39A and TNXB that are associated with the AD Braak stage in a sex-specific manner. TMEM39A is known to be involved in inflammation, dysregulated type I interferon responses, and other immune processes. TNXB encodes tenascin proteins, which are extracellular matrix glycoproteins demonstrated to modulate synaptic plasticity in the brain. Moreover, for many previously implicated genes in AD neuropathology, such as MBP and AZU1, our analysis provided the new insights that they were predominately driven by effects in only one sex. These sex-specific DNA methylation differences were enriched in divergent biological processes such as integrin activation in females and complement activation in males. Our study implicated multiple new loci and biological processes that affected AD neuropathology in a sex-specific manner."
33895575,Air pollution and DNA methylation in adults: A systematic review and meta-analysis of observational studies.,Environ Pollut,"This systematic review and meta-analysis aimed to investigate the association between air pollution and DNA methylation in adults from published observational studies. PubMed, Web of Science and Embase databases were systematically searched for available studies on the association between air pollution and DNA methylation published up to March 9, 2021. Three DNA methylation approaches were considered: global methylation, candidate-gene, and epigenome-wide association studies (EWAS). Meta-analysis was used to summarize the combined estimates for the association between air pollutants and global DNA methylation levels. Heterogeneity was assessed with the Cochran Q test and quantified with the I2statistic. In total, 38 articles were included in this study: 16 using global methylation, 18 using candidate genes, and 11 using EWAS, with 7 studies using more than one approach. Meta-analysis revealed an imprecise but inverse association between exposure to PM2.5and global DNA methylation (for each 10-μg/m3PM2.5, combined estimate: 0.39; 95% confidence interval: 0.97 - 0.19). The candidate-gene results were consistent for the ERCC3 and SOX2 genes, suggesting hypermethylation in ERCC3 associated with benzene and that in SOX2 associated with PM2.5exposure. EWAS identified 201 CpG sites and 148 differentially methylated regions that showed differential methylation associated with air pollution. Among the 307 genes investigated in 11 EWAS, a locus in nucleoredoxin gene was found to be positively associated with PM2.5in two studies. Current meta-analysis indicates that PM2.5is imprecisely and inversely associated with DNA methylation. The candidate-gene results consistently suggest hypermethylation in ERCC3 associated with benzene exposure and that in SOX2 associated with PM2.5exposure. The Kyoto Encyclopedia of Genes and Genomes (KEGG) network analyses revealed that these genes were associated with African trypanosomiasis, Malaria, Antifolate resistance, Graft-versus-host disease, and so on. More evidence is needed to clarify the association between air pollution and DNA methylation.Copyright © 2021 Elsevier Ltd. All rights reserved."
33890633,DNA methylation patterns within whole blood of adolescents born from assisted reproductive technology are not different from adolescents born from natural conception.,Hum Reprod,"Do the epigenome-wide DNA methylation profiles of adolescents born from ART differ from the epigenome of naturally conceived counterparts?No significant differences in the DNA methylation profiles of adolescents born from ART [IVF or ICSI] were observed when compared to their naturally conceived, similar aged counterparts.Short-term and longer-term studies have investigated the general health outcomes of children born from IVF treatment, albeit without common agreement as to the cause and underlying mechanisms of these adverse health findings. Growing evidence suggests that the reported adverse health outcomes in IVF-born offspring might have underlying epigenetic mechanisms.The Growing Up Healthy Study (GUHS) is a prospective study that recruited 303 adolescents and young adults, conceived through ART, to compare various long-term health outcomes and DNA methylation profiles with similar aged counterparts from Generation 2 from the Raine Study. GUHS assessments were conducted between 2013 and 2017. The effect of ART on DNA methylation levels of 231 adolescents mean age 15.96 ± 1.59 years (52.8% male) was compared to 1188 naturally conceived counterparts, 17.25 ± 0.58 years (50.9% male) from the Raine Study.DNA methylation profiles from a subset of 231 adolescents (13-19.9 years) from the GUHS, generated using the Infinium Methylation Epic Bead Chip (EPIC) array were compared to 1188 profiles from the Raine Study previously measured using the Illumina 450K array. We conducted epigenome-wide association approach (EWAS) and tested for an association between the cohorts applying Firth's bias reduced logistic regression against the outcome of ART versus naturally conceived offspring. Additionally, within the GUHS cohort, we investigated differences in methylation status in fresh versus frozen embryo transfers, cause of infertility as well as IVF versus ICSI conceived offspring. Following the EWAS analysis we investigated nominally significant probes using Gene Set Enrichment Analysis (GSEA) to identify enriched biological pathways. Finally, within GUHS we compared four estimates (Horvath, Hanuum, PhenoAge [Levine], and skin Horvath) of epigenetic age and their correlation with chronological age.Between the two cohorts, we did not identify any DNA methylation probes that reached a Bonferroni corrected P-value < 1.24E-0.7. When comparing IVF versus ICSI conceived adolescents within the GUHS cohort, after adjustment for participant age, sex, maternal smoking, multiple births, and batch effect, three methylation probes (cg15016734, cg26744878 and cg20233073) reached a Bonferroni correction of 6.31E-08. After correcting for cell count heterogeneity, two of the aforementioned probes remained significant and an additional two probes (cg 0331628 and cg 20235051) were identified. A general trend towards hypomethylation in the ICSI offspring was observed. All four measures of epigenetic age were highly correlated with chronological age and showed no evidence of accelerated epigenetic aging within their whole blood.The small sample size coupled with the use of whole blood, where epigenetic differences may occur in other tissue. This was corrected by the utilized statistical method that accounts for imbalanced sample size between groups and adjusting for cell count heterogeneity. Only a small portion of the methylome was analysed and rare individual differences may be missed.Our findings provide further reassurance that the effects of the ART manipulations occurring during early embryogenesis, existing in the neonatal period are indeed of a transient nature and do not persist into adolescence. However, we have not excluded that alternative epigenetic mechanisms may be at play.This project was supported by NHMRC project Grant no. 1042269 and R.J.H. received funding support from Ferring Pharmaceuticals Pty Ltd. R.J.H. is the Medical Director of Fertility Specialists of Western Australia and a shareholder in Western IVF. He has received educational sponsorship from Merck Sharp & Dohme Corp.- Australia, Merck-Serono Australia Pty Ltd and Ferring Pharmaceuticals Pty Ltd. P.B. is the Scientific Director of Concept Fertility Centre, Subiaco, Western Australia. J.L.Y. is the Medical Director of PIVET Medical Centre, Perth, Western Australia. The remaining authors have no conflicts of interest.© The Author(s) 2021. Published by Oxford University Press on behalf of European Society of Human Reproduction and Embryology. All rights reserved. For permissions, please email: journals.permissions@oup.com."
