pmid,title,source,abstract
37650641,Widespread effects of DNA methylation and intra-motif dependencies revealed by novel transcription factor binding models.,Nucleic Acids Res,"Several studies suggested that transcription factor (TF) binding to DNA may be impaired or enhanced by DNA methylation. We present MeDeMo, a toolbox for TF motif analysis that combines information about DNA methylation with models capturing intra-motif dependencies. In a large-scale study using ChIP-seq data for 335 TFs, we identify novel TFs that show a binding behaviour associated with DNA methylation. Overall, we find that the presence of CpG methylation decreases the likelihood of binding for the majority of methylation-associated TFs. For a considerable subset of TFs, we show that intra-motif dependencies are pivotal for accurately modelling the impact of DNA methylation on TF binding. We illustrate that the novel methylation-aware TF binding models allow to predict differential ChIP-seq peaks and improve the genome-wide analysis of TF binding. Our work indicates that simplistic models that neglect the effect of DNA methylation on DNA binding may lead to systematic underperformance for methylation-associated TFs.© The Author(s) 2023. Published by Oxford University Press on behalf of Nucleic Acids Research."
37649326,Pan-cancer analysis of genome-wide methylation profiling discover type-specific markers targeting circulating free DNA for the detection of colorectal cancer.,Clin Transl Med,NA
37641110,Evaluation of the pooled sample method in Infinium MethylationEPIC BeadChip array by comparison with individual samples.,Clin Epigenetics,"The pooled sample method is used in epigenomic research and expression analysis and is a cost-effective screening approach for small amounts of DNA. Evaluation of the pooled sample method in epigenomic studies is performed using the Illumina Infinium Methylation 450K BeadChip array; however, subsequent reports on the updated 850K array are lacking. A previous study demonstrated that the methylation levels obtained from individual samples were accurately replicated using pooled samples but did not address epigenome-wide association study (EWAS) statistics. The DNA quantification method, which is important for the homogeneous mixing of DNA in the pooled sample method, has since become fluorescence-based, and additional factors need to be considered including the resolution of batch effects of microarray chips and the heterogeneity of the cellular proportions from which the DNA samples are derived. In this study, four pooled samples were created from 44 individual samples, and EWAS statistics for differentially methylated positions (DMPs) and regions (DMRs) were conducted for individual samples and compared with the statistics obtained from the pooled samples.The methylation levels could be reproduced fairly well in the pooled samples. This was the case for the entire dataset and when limited to the top 100 CpG sites, consistent with a previous study using the 450K BeadChip array. However, the statistical results of the EWAS for the DMP by individual samples were not replicated in pooled samples. Qualitative analyses highlighting methylation within an arbitrary candidate gene were replicable. Focusing on chr 20, the statistical results of EWAS for DMR from individual samples showed replicability in the pooled samples as long as they were limited to regions with a sufficient effect size.The pooled sample method replicated the methylation values well and can be used for EWAS in DMR. This method is sample amount-effective and cost-effective and can be utilized for screening by carefully understanding the effective features and disadvantages of the pooled sample method and combining it with candidate gene analyses.© 2023. BioMed Central Ltd., part of Springer Nature."
37634000,Objective and subjective measures of sleep initiation are differentially associated with DNA methylation in adolescents.,Clin Epigenetics,"The onset of puberty is associated with a shift in the circadian timing of sleep, leading to delayed sleep initiation [i.e., later sleep onset time (SOT)] due to later bedtimes and/or longer sleep onset latency (SOL). Several genome-wide association studies (GWAS) have identified genes that may be involved in the etiology of sleep phenotypes. However, circadian rhythms are also epigenetically regulated; therefore, epigenetic biomarkers may provide insight into the physiology of the pubertal sleep onset shift and the pathophysiology of prolonged or delayed sleep initiation.The gene-wide analysis indicated differential methylation within or around 1818 unique genes across the sleep initiation measurements using self-report, actigraphy (ACT), and polysomnography (PSG), while GWAS-informed analysis yielded 67 genes. Gene hits were identified for bedtime (PSG), SOL (subjective, ACT and PSG) and SOT (subjective and PSG). DNA methylation within 12 genes was associated with both subjective and PSG-measured SOL, 31 with both ACT- and PSG-measured SOL, 19 with both subjective and ACT-measured SOL, and one gene (SMG1P2) had methylation sites associated with subjective, ACT- and PSG-measured SOL.Objective and subjective sleep initiation in adolescents is associated with altered DNA methylation in genes previously identified in adult GWAS of sleep and circadian phenotypes. Additionally, our data provide evidence for a potential epigenetic link between habitual (subjective and ACT) SOL and in-lab SOT and DNA methylation in and around genes involved in circadian regulation (i.e., RASD1, RAI1), cardiometabolic disorders (i.e., FADS1, WNK1, SLC5A6), and neuropsychiatric disorders (i.e., PRR7, SDK1, FAM172A). If validated, these sites may provide valuable targets for early detection and prevention of disorders involving prolonged or delayed SOT, such as insomnia, delayed sleep phase, and their comorbidity.© 2023. BioMed Central Ltd., part of Springer Nature."
37620312,Methylation across the central dogma in health and diseases: new therapeutic strategies.,Signal Transduct Target Ther,"The proper transfer of genetic information from DNA to RNA to protein is essential for cell-fate control, development, and health. Methylation of DNA, RNAs, histones, and non-histone proteins is a reversible post-synthesis modification that finetunes gene expression and function in diverse physiological processes. Aberrant methylation caused by genetic mutations or environmental stimuli promotes various diseases and accelerates aging, necessitating the development of therapies to correct the disease-driver methylation imbalance. In this Review, we summarize the operating system of methylation across the central dogma, which includes writers, erasers, readers, and reader-independent outputs. We then discuss how dysregulation of the system contributes to neurological disorders, cancer, and aging. Current small-molecule compounds that target the modifiers show modest success in certain cancers. The methylome-wide action and lack of specificity lead to undesirable biological effects and cytotoxicity, limiting their therapeutic application, especially for diseases with a monogenic cause or different directions of methylation changes. Emerging tools capable of site-specific methylation manipulation hold great promise to solve this dilemma. With the refinement of delivery vehicles, these new tools are well positioned to advance the basic research and clinical translation of the methylation field.© 2023. West China Hospital, Sichuan University."
37612641,"Maternal pre-pregnancy BMI, offspring epigenome-wide DNA methylation, and childhood obesity: findings from the Boston Birth Cohort.",BMC Med,"Maternal pre-pregnancy obesity is an established risk factor for childhood obesity. Investigating epigenetic alterations induced by maternal obesity during fetal development could gain mechanistic insight into the developmental origins of childhood obesity. While obesity disproportionately affects underrepresented racial and ethnic mothers and children in the USA, few studies investigated the role of prenatal epigenetic programming in intergenerational obesity of these high-risk populations.This study included 903 mother-child pairs from the Boston Birth Cohort, a predominantly urban, low-income minority birth cohort. Mother-infant dyads were enrolled at birth and the children were followed prospectively to age 18 years. Infinium Methylation EPIC BeadChip was used to measure epigenome-wide methylation level of cord blood. We performed an epigenome-wide association study of maternal pre-pregnancy body mass index (BMI) and cord blood DNA methylation (DNAm). To quantify the degree to which cord blood DNAm mediates the maternal BMI-childhood obesity, we further investigated whether maternal BMI-associated DNAm sites impact birthweight or childhood overweight or obesity (OWO) from age 1 to age 18 and performed corresponding mediation analyses.The study sample contained 52.8% maternal pre-pregnancy OWO and 63.2% offspring OWO at age 1-18 years. Maternal BMI was associated with cord blood DNAm at 8 CpG sites (genome-wide false discovery rate [FDR] < 0.05). After accounting for the possible interplay of maternal BMI and smoking, 481 CpG sites were discovered for association with maternal BMI. Among them 123 CpGs were associated with childhood OWO, ranging from 42% decrease to 87% increase in OWO risk for each SD increase in DNAm. A total of 14 identified CpG sites showed a significant mediation effect on the maternal BMI-child OWO association (FDR < 0.05), with mediating proportion ranging from 3.99% to 25.21%. Several of these 14 CpGs were mapped to genes in association with energy balance and metabolism (AKAP7) and adulthood metabolic syndrome (CAMK2B).This prospective birth cohort study in a high-risk yet understudied US population found that maternal pre-pregnancy OWO significantly altered DNAm in newborn cord blood and provided suggestive evidence of epigenetic involvement in the intergenerational risk of obesity.© 2023. BioMed Central Ltd., part of Springer Nature."
37609313,Epigenome-wide association study of incident type 2 diabetes in Black and White participants from the Atherosclerosis Risk in Communities Study.,medRxiv,"DNA methylation studies of incident type 2 diabetes in US populations are limited, and to our knowledge none included individuals of African descent living in the US. We performed an epigenome-wide association analysis of blood-based methylation levels at CpG sites with incident type 2 diabetes using Cox regression in 2,091 Black and 1,029 White individuals from the Atherosclerosis Risk in Communities study. At an epigenome-wide significance threshold of 10-7, we detected 7 novel diabetes-associated CpG sites inC1orf151(cg05380846: HR= 0.89,p= 8.4 × 10-12),ZNF2(cg01585592: HR= 0.88,p= 1.6 × 10-9),JPH3(cg16696007: HR= 0.87,p= 7.8 × 10-9),GPX6(cg02793507: HR= 0.85,p= 2.7 × 10-8and cg00647063: HR= 1.20,p= 2.5 × 10-8), chr17q25 (cg16865890: HR= 0.8,p= 6.9 × 10-8), and chr11p15 (cg13738793: HR= 1.11,p= 7.7 × 10-8). The CpG sites atC1orf151,ZNF2, JPH3andGPX6, were identified in Black adults, chr17q25 was identified in White adults, and chr11p15 was identified upon meta-analyzing the two groups. The CpG sites atJPH3andGPX6were likely associated with incident type 2 diabetes independent of BMI. All the CpG sites, except atJPH3, were likely consequences of elevated glucose at baseline. We additionally replicated known type 2 diabetes-associated CpG sites including cg19693031 atTXNIP, cg00574958 atCPT1A, cg16567056 atPLBC2, cg11024682 atSREBF1, cg08857797 atVPS25, and cg06500161 atABCG1, 3 of which were replicated in Black adults at the epigenome-wide threshold. We observed modest increase in type 2 diabetes variance explained upon addition of the significantly associated CpG sites to a Cox model that included traditional type 2 diabetes risk factors and fasting glucose (increase from 26.2% to 30.5% in Black adults; increase from 36.9% to 39.4% in White adults). We examined if groups of proximal CpG sites were associated with incident type 2 diabetes using a gene-region specific and a gene-region agnostic differentially methylated region (DMR) analysis. Our DMR analyses revealed several clusters of significant CpG sites, including a DMR consisting of a previously discovered CpG site atADCY7and promoter regions ofTP63which were differentially methylated across all race groups. This study illustrates improved discovery of CpG sites/regions by leveraging both individual CpG site and DMR analyses in an unexplored population. Our findings include genes linked to diabetes in experimental studies (e.g.,GPX6,JPH3,andTP63), and future gene-specific methylation studies could elucidate the link between genes, environment, and methylation in the pathogenesis of type 2 diabetes."
37608375,Sexually dimorphic methylation patterns characterize the placenta and blood from extremely preterm newborns.,BMC Biol,"Health outcomes among children born prematurely are known to be sexually dimorphic, with male infants often more affected, yet the mechanism behind this observation is not clear. CpG methylation levels in the placenta and blood also differ by sex and are associated with adverse health outcomes. We contrasted CpG methylation levels in the placenta and neonatal blood (n = 358) from the Extremely Low Gestational Age Newborn (ELGAN) cohort based on the EPIC array, which assays over 850,000 CpG sites across the epigenome. Sex-specific epigenome-wide association analyses were conducted for the placenta and neonatal blood samples independently, and the results were compared to determine tissue-specific differences between the methylation patterns in males and females. All models were adjusted for cell type heterogeneity. Enrichment pathway analysis was performed to identify the biological functions of genes related to the sexually dimorphic CpG sites.Approximately 11,500 CpG sites were differentially methylated in relation to sex. Of these, 5949 were placenta-specific and 5361 were blood-specific, with only 233 CpG sites overlapping in both tissues. For placenta-specific CpG sites, 90% were hypermethylated in males. For blood-specific CpG sites, 95% were hypermethylated in females. In the placenta, keratinocyte differentiation biological pathways were enriched among the differentially methylated genes. No enrichment pathways were observed for blood.Distinct methylation patterns were observed between male and female children born extremely premature, and keratinocyte differentiation pathways were enriched in the placenta. These findings provide new insights into the epigenetic mechanisms underlying sexually dimorphic health outcomes among extremely premature infants.© 2023. BioMed Central Ltd., part of Springer Nature."
37598461,Epigenome-wide DNA methylation association study of circulating IgE levels identifies novel targets for asthma.,EBioMedicine,"Identifying novel epigenetic signatures associated with serum immunoglobulin E (IgE) may improve our understanding of molecular mechanisms underlying asthma and IgE-mediated diseases.We performed an epigenome-wide association study using whole blood from Framingham Heart Study (FHS; n = 3,471, 46% females) participants and validated results using the Childhood Asthma Management Program (CAMP; n = 674, 39% females) and the Genetic Epidemiology of Asthma in Costa Rica Study (CRA; n = 787, 41% females). Using the closest gene to each IgE-associated CpG, we highlighted biologically plausible pathways underlying IgE regulation and analyzed the transcription patterns linked to IgE-associated CpGs (expression quantitative trait methylation loci; eQTMs). Using prior UK Biobank summary data from genome-wide association studies of asthma and allergy, we performed Mendelian randomization (MR) for causal inference testing using the IgE-associated CpGs from FHS with methylation quantitative trait loci (mQTLs) as instrumental variables.We identified 490 statistically significant differentially methylated CpGs associated with IgE in FHS, of which 193 (39.3%) replicated in CAMP and CRA (FDR < 0.05). Gene ontology analysis revealed enrichment in pathways related to transcription factor binding, asthma, and other immunological processes. eQTM analysis identified 124 cis-eQTMs for 106 expressed genes (FDR < 0.05). MR in combination with drug-target analysis revealed CTSB and USP20 as putatively causal regulators of IgE levels (Bonferroni adjusted P < 7.94E-04) that can be explored as potential therapeutic targets.By integrating eQTM and MR analyses in general and clinical asthma populations, our findings provide a deeper understanding of the multidimensional inter-relations of DNA methylation, gene expression, and IgE levels.US NIH/NHLBI grants: P01HL132825, K99HL159234. N01-HC-25195 and HHSN268201500001I.Copyright © 2023 The Authors. Published by Elsevier B.V. All rights reserved."
37589453,Epigenetic signature of human immune aging in the GESTALT study.,Elife,"Age-associated DNA methylation in blood cells convey information on health status. However, the mechanisms that drive these changes in circulating cells and their relationships to gene regulation are unknown. We identified age-associated DNA methylation sites in six purified blood borne immune cell types (naïve B, naïve CD4+and CD8+T cells, granulocytes, monocytes and NK cells) collected from healthy individuals interspersed over a wide age range. Of the thousands of age-associated sites, only 350 sites were differentially methylated in the same direction in all cell types and validated in an independent longitudinal cohort. Genes close to age-associated hypomethylated sites were enriched for collagen biosynthesis and complement cascade pathways, while genes close to hypermethylated sites mapped to neuronal pathways. In-silico analyses showed that in most cell types, the age-associated hypo- and hypermethylated sites were enriched for ARNT (HIF1β) and REST transcription factor motifs respectively, which are both master regulators of hypoxia response. To conclude, despite spatial heterogeneity, there is a commonality in the putative regulatory role with respect to transcription factor motifs and histone modifications at and around these sites. These features suggest that DNA methylation changes in healthy aging may be adaptive responses to fluctuations of oxygen availability."
