person,ec,date,category,pmid,title,source,abstract
Matt,No,20230504,methods,37072822,The ENCODE Imputation Challenge: a critical assessment of methods for cross-cell type imputation of epigenomic profiles,Genome Biol,"A promising alternative to comprehensively performing genomics experiments is to, instead, perform a subset of experiments and use computational methods to impute the remainder. However, identifying the best imputation methods and what measures meaningfully evaluate performance are open questions. We address these questions by comprehensively analyzing 23 methods from the ENCODE Imputation Challenge. We find that imputation evaluations are challenging and confounded by distributional shifts from differences in data collection and processing over time, the amount of available data, and redundancy among performance measures. Our analyses suggest simple steps for overcoming these issues and promising directions for more robust research."
Matt,No,20230504,single-cell,37131654,Single-cell DNA Methylome and 3D Multi-omic Atlas of the Adult Mouse Brain.,bioRxiv,"Cytosine DNA methylation is essential in brain development and has been implicated in various neurological disorders. A comprehensive understanding of DNA methylation diversity across the entire brain in the context of the brain's 3D spatial organization is essential for building a complete molecular atlas of brain cell types and understanding their gene regulatory landscapes. To this end, we employed optimized single-nucleus methylome (snmC-seq3) and multi-omic (snm3C-seq1) sequencing technologies to generate 301,626 methylomes and 176,003 chromatin conformation/methylome joint profiles from 117 dissected regions throughout the adult mouse brain. Using iterative clustering and integrating with companion whole-brain transcriptome and chromatin accessibility datasets, we constructed a methylation-based cell type taxonomy that contains 4,673 cell groups and 261 cross-modality-annotated subclasses. We identified millions of differentially methylated regions (DMRs) across the genome, representing potential gene regulation elements. Notably, we observed spatial cytosine methylation patterns on both genes and regulatory elements in cell types within and across brain regions. Brain-wide multiplexed error-robust fluorescence in situ hybridization (MERFISH2) data validated the association of this spatial epigenetic diversity with transcription and allowed the mapping of the DNA methylation and topology information into anatomical structures more precisely than our dissections. Furthermore, multi-scale chromatin conformation diversities occur in important neuronal genes, highly associated with DNA methylation and transcription changes. Brain-wide cell type comparison allowed us to build a regulatory model for each gene, linking transcription factors, DMRs, chromatin contacts, and downstream genes to establish regulatory networks. Finally, intragenic DNA methylation and chromatin conformation patterns predicted alternative gene isoform expression observed in a companion whole-brain SMART-seq3dataset. Our study establishes the first brain-wide, single-cell resolution DNA methylome and 3D multi-omic atlas, providing an unparalleled resource for comprehending the mouse brain's cellular-spatial and regulatory genome diversity."
Matt,No,20230504,dnamage,37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,Nat Aging,"The geroscience hypothesis proposes that therapy to slow or reverse molecular changes that occur with aging can delay or prevent multiple chronic diseases and extend healthy lifespan1-3. Caloric restriction (CR), defined as lessening caloric intake without depriving essential nutrients4, results in changes in molecular processes that have been associated with aging, including DNA methylation (DNAm)5-7, and is established to increase healthy lifespan in multiple species8,9. Here we report the results of a post hoc analysis of the influence of CR on DNAm measures of aging in blood samples from the Comprehensive Assessment of Long-term Effects of Reducing Intake of Energy (CALERIE) trial, a randomized controlled trial in which n = 220 adults without obesity were randomized to 25% CR or ad libitum control diet for 2 yr (ref.10). We found that CALERIE intervention slowed the pace of aging, as measured by the DunedinPACE DNAm algorithm, but did not lead to significant changes in biological age estimates measured by various DNAm clocks including PhenoAge and GrimAge. Treatment effect sizes were small. Nevertheless, modest slowing of the pace of aging can have profound effects on population health11-13. The finding that CR modified DunedinPACE in a randomized controlled trial supports the geroscience hypothesis, building on evidence from small and uncontrolled studies14-16and contrasting with reports that biological aging may not be modifiable17. Ultimately, a conclusive test of the geroscience hypothesis will require trials with long-term follow-up to establish effects of intervention on primary healthy-aging endpoints, including incidence of chronic disease and mortality18-20.© 2023. The Author(s)."
Matt,No,20230504,single-cell,37085594,Single-cell genomics meets human genetics.,Nat Rev Genet,"Single-cell genomic technologies are revealing the cellular composition, identities and states in tissues at unprecedented resolution. They have now scaled to the point that it is possible to query samples at the population level, across thousands of individuals. Combining single-cell information with genotype data at this scale provides opportunities to link genetic variation to the cellular processes underpinning key aspects of human biology and disease. This strategy has potential implications for disease diagnosis, risk prediction and development of therapeutic solutions. But, effectively integrating large-scale single-cell genomic data, genetic variation and additional phenotypic data will require advances in data generation and analysis methods. As single-cell genetics begins to emerge as a field in its own right, we review its current state and the challenges and opportunities ahead.© 2023. Springer Nature Limited."
Matt,No,20230504,omics,37117186,A precision environmental health approach to prevention of human disease.,Nat Commun,"Human health is determined by the interaction of our environment with the genome, epigenome, and microbiome, which shape the transcriptomic, proteomic, and metabolomic landscape of cells and tissues. Precision environmental health is an emerging field leveraging environmental and system-level ('omic) data to understand underlying environmental causes of disease, identify biomarkers of exposure and response, and develop new prevention and intervention strategies. In this article we provide real-life illustrations of the utility of precision environmental health approaches, identify current challenges in the field, and outline new opportunities to promote health through a precision environmental health framework.© 2023. The Author(s)."
Matt,No,20230504,methods,37066421,The ENCODE Uniform Analysis Pipelines.,bioRxiv,"The Encyclopedia of DNA elements (ENCODE) project is a collaborative effort to create a comprehensive catalog of functional elements in the human genome. The current database comprises more than 19000 functional genomics experiments across more than 1000 cell lines and tissues using a wide array of experimental techniques to study the chromatin structure, regulatory and transcriptional landscape of theHomo sapiensandMus musculusgenomes. All experimental data, metadata, and associated computational analyses created by the ENCODE consortium are submitted to the Data Coordination Center (DCC) for validation, tracking, storage, and distribution to community resources and the scientific community. The ENCODE project has engineered and distributed uniform processing pipelines in order to promote data provenance and reproducibility as well as allow interoperability between genomic resources and other consortia. All data files, reference genome versions, software versions, and parameters used by the pipelines are captured and availableviathe ENCODE Portal. The pipeline code, developed using Docker and Workflow Description Language (WDL; https://openwdl.org/ ) is publicly available in GitHub, with images available on Dockerhub ( https://hub.docker.com ), enabling access to a diverse range of biomedical researchers. ENCODE pipelines maintained and used by the DCC can be installed to run on personal computers, local HPC clusters, or in cloud computing environmentsviaCromwell. Access to the pipelines and dataviathe cloud allows small labs the ability to use the data or software without access to institutional compute clusters. Standardization of the computational methodologies for analysis and quality control leads to comparable results from different ENCODE collections - a prerequisite for successful integrative analyses.Database URL:https://www.encodeproject.org/."
Neil,No,20230504,pqtl,37085628,Proteome-wide Mendelian randomization reveals the causal effects of immune-related plasma proteins on psychiatric disorders.,Hum Genet,"Immune dysregulation has been consistently reported in psychiatric disorders, however, the causes and mechanisms underlying immune dysregulation in psychiatric disorders remain largely unclear. Here we conduct a Mendelian randomization study by integrating plasma proteome and GWASs of schizophrenia, bipolar disorder and depression. The primate-specific immune-related protein BTN3A3 showed the most significant associations with all three psychiatric disorders. In addition, other immune-related proteins, including AIF1, FOXO3, IRF3, CFHR4, IGLON5, FKBP2, and PI3, also showed significant associations with psychiatric disorders. Our study showed that a proportion of psychiatric risk variants may contribute to disease risk by regulating immune-related plasma proteins, providing direct evidence that connect the genetic risk of psychiatric disorders to immune system.© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
Paul,No,20230504,prediction,37117793,Development and validation of DNA methylation scores in two European cohorts augment 10-year risk prediction of type 2 diabetes.,Nat Aging,"Type 2 diabetes mellitus (T2D) presents a major health and economic burden that could be alleviated with improved early prediction and intervention. While standard risk factors have shown good predictive performance, we show that the use of blood-based DNA methylation information leads to a significant improvement in the prediction of 10-year T2D incidence risk. Previous studies have been largely constrained by linear assumptions, the use of cytosine-guanine pairs one-at-a-time and binary outcomes. We present a flexible approach (via an R package, MethylPipeR) based on a range of linear and tree-ensemble models that incorporate time-to-event data for prediction. Using the Generation Scotland cohort (training set ncases = 374, ncontrols = 9,461; test set ncases = 252, ncontrols = 4,526) our best-performing model (area under the receiver operating characteristic curve (AUC) = 0.872, area under the precision-recall curve (PRAUC) = 0.302) showed notable improvement in 10-year onset prediction beyond standard risk factors (AUC = 0.839, precision-recall AUC = 0.227). Replication was observed in the German-based KORA study (n = 1,451, ncases = 142, P = 1.6 × 10-5).© 2023. The Author(s), under exclusive licence to Springer Nature America, Inc."
Sam,No,20230504,eqtl,37076491,Mapping genomic regulation of kidney disease and traits through high-resolution and interpretable eQTLs.,Nat Commun,"Expression quantitative trait locus (eQTL) studies illuminate genomic variants that regulate specific genes and contribute to fine-mapped loci discovered via genome-wide association studies (GWAS). Efforts to maximize their accuracy are ongoing. Using 240 glomerular (GLOM) and 311 tubulointerstitial (TUBE) micro-dissected samples from human kidney biopsies, we discovered 5371 GLOM and 9787 TUBE genes with at least one variant significantly associated with expression (eGene) by incorporating kidney single-nucleus open chromatin data and transcription start site distance as an ""integrative prior"" for Bayesian statistical fine-mapping. The use of an integrative prior resulted in higher resolution eQTLs illustrated by (1) smaller numbers of variants in credible sets with greater confidence, (2) increased enrichment of partitioned heritability for GWAS of two kidney traits, (3) an increased number of variants colocalized with the GWAS loci, and (4) enrichment of computationally predicted functional regulatory variants. A subset of variants and genes were validated experimentally in vitro and using a Drosophila nephrocyte model. More broadly, this study demonstrates that tissue-specific eQTL maps informed by single-nucleus open chromatin data have enhanced utility for diverse downstream analyses.© 2023. The Author(s)."
Sam,No,20230504,gwas,37120605,Multi-population genome-wide association study implicates immune and non-immune factors in pediatric steroid-sensitive nephrotic syndrome.,Nat Commun,"Pediatric steroid-sensitive nephrotic syndrome (pSSNS) is the most common childhood glomerular disease. Previous genome-wide association studies (GWAS) identified a risk locus in the HLA Class II region and three additional independent risk loci. But the genetic architecture of pSSNS, and its genetically driven pathobiology, is largely unknown. Here, we conduct a multi-population GWAS meta-analysis in 38,463 participants (2440 cases). We then conduct conditional analyses and population specific GWAS. We discover twelve significant associations-eight from the multi-population meta-analysis (four novel), two from the multi-population conditional analysis (one novel), and two additional novel loci from the European meta-analysis. Fine-mapping implicates specific amino acid haplotypes in HLA-DQA1 and HLA-DQB1 driving the HLA Class II risk locus. Non-HLA loci colocalize with eQTLs of monocytes and numerous T-cell subsets in independent datasets. Colocalization with kidney eQTLs is lacking but overlap with kidney cell open chromatin suggests an uncharacterized disease mechanism in kidney cells. A polygenic risk score (PRS) associates with earlier disease onset. Altogether, these discoveries expand our knowledge of pSSNS genetic architecture across populations and provide cell-specific insights into its molecular drivers. Evaluating these associations in additional cohorts will refine our understanding of population specificity, heterogeneity, and clinical and molecular associations.© 2023. The Author(s)."
